"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full","F1_score"
"43",33,100,3000,NA,"br",NA,0.972602739726027,0.986111111111111,3,72,73,0.979310344827586
"44",33,1000,3000,NA,"br",NA,0.986301369863014,0.986301369863014,2,73,73,0.986301369863014
"45",33,1,3000,NA,NA,NA,0.9125,0.879518072289157,17,83,80,0.895705521472393
"46",33,10,3000,NA,"br",NA,0.9625,0.974683544303797,5,79,80,0.968553459119497
"47",33,100,3000,NA,"br",NA,0.95,0.974358974358974,6,78,80,0.962025316455696
"48",33,1000,3000,NA,"br",NA,0.95,0.974358974358974,6,78,80,0.962025316455696
"49",33,1,3000,NA,NA,NA,0.972972972972973,0.96,5,75,74,0.966442953020134
"50",33,10,3000,NA,"br",NA,0.972972972972973,0.972972972972973,4,74,74,0.972972972972973
"51",33,100,3000,NA,"br",NA,0.959459459459459,0.986111111111111,4,72,74,0.972602739726027
"52",33,1000,3000,NA,"br",NA,0.959459459459459,0.986111111111111,4,72,74,0.972602739726027
"53",33,1,3000,NA,NA,NA,1,0.902173913043478,9,92,83,0.948571428571429
"54",33,10,3000,NA,"br",NA,1,0.932584269662921,6,89,83,0.965116279069767
"55",33,100,3000,NA,"br",NA,1,0.932584269662921,6,89,83,0.965116279069767
"56",33,1000,3000,NA,"br",NA,1,0.932584269662921,6,89,83,0.965116279069767
"57",33,1,3000,NA,NA,NA,0.952380952380952,0.941176470588235,9,85,84,0.946745562130177
"58",33,10,3000,NA,"br",NA,0.952380952380952,0.975609756097561,6,82,84,0.963855421686747
"59",33,100,3000,NA,"br",NA,0.94047619047619,0.9875,6,80,84,0.963414634146342
"60",33,1000,3000,NA,"br",NA,0.94047619047619,0.9875,6,80,84,0.963414634146342
"61",33,1,3000,NA,NA,NA,0.975609756097561,0.919540229885057,9,87,82,0.946745562130177
"62",33,10,3000,NA,"br",NA,0.963414634146341,0.951807228915663,7,83,82,0.957575757575758
"63",33,100,3000,NA,"br",NA,0.963414634146341,0.951807228915663,7,83,82,0.957575757575758
"64",33,1000,3000,NA,"br",NA,0.963414634146341,0.951807228915663,7,83,82,0.957575757575758
"65",33,1,3000,NA,NA,NA,0.967032967032967,0.946236559139785,8,93,91,0.956521739130435
"66",33,10,3000,NA,"br",NA,0.978021978021978,0.967391304347826,5,92,91,0.972677595628415
"67",33,100,3000,NA,"br",NA,0.978021978021978,0.978021978021978,4,91,91,0.978021978021978
"68",33,1000,3000,NA,"br",NA,0.989010989010989,0.978260869565217,3,92,91,0.983606557377049
"69",33,1,3000,NA,NA,NA,0.987012987012987,0.974358974358974,3,78,77,0.980645161290323
"70",33,10,3000,NA,"br",NA,0.961038961038961,1,3,74,77,0.980132450331126
"71",33,100,3000,NA,"br",NA,0.961038961038961,1,3,74,77,0.980132450331126
"72",33,1000,3000,NA,"br",NA,0.961038961038961,1,3,74,77,0.980132450331126
"73",33,1,3000,NA,NA,NA,0.979166666666667,0.969072164948454,5,97,96,0.974093264248705
"74",33,10,3000,NA,"br",NA,0.979166666666667,0.989473684210526,3,95,96,0.984293193717278
"75",33,100,3000,NA,"br",NA,0.96875,1,3,93,96,0.984126984126984
"76",33,1000,3000,NA,"br",NA,0.96875,1,3,93,96,0.984126984126984
"77",33,1,3000,NA,NA,NA,1,0.956989247311828,4,93,89,0.978021978021978
"78",33,10,3000,NA,"br",NA,1,0.978021978021978,2,91,89,0.988888888888889
"79",33,100,3000,NA,"br",NA,1,0.978021978021978,2,91,89,0.988888888888889
"80",33,1000,3000,NA,"br",NA,1,0.978021978021978,2,91,89,0.988888888888889
"81",33,1,3000,NA,NA,NA,1,0.916666666666667,7,84,77,0.956521739130435
"82",33,10,3000,NA,"br",NA,0.987012987012987,0.974358974358974,3,78,77,0.980645161290323
"83",33,100,3000,NA,"br",NA,0.987012987012987,0.962025316455696,4,79,77,0.974358974358974
"84",33,1000,3000,NA,"br",NA,0.987012987012987,0.974358974358974,3,78,77,0.980645161290323
"85",33,1,3000,NA,NA,NA,0.947368421052632,0.947368421052632,8,76,76,0.947368421052632
"86",33,10,3000,NA,"br",NA,0.960526315789474,0.960526315789474,6,76,76,0.960526315789474
"87",33,100,3000,NA,"br",NA,0.973684210526316,0.973684210526316,4,76,76,0.973684210526316
"88",33,1000,3000,NA,"br",NA,0.973684210526316,0.973684210526316,4,76,76,0.973684210526316
"89",33,1,3000,NA,NA,NA,0.978494623655914,0.957894736842105,6,95,93,0.968085106382979
"90",33,10,3000,NA,"br",NA,0.989247311827957,0.989247311827957,2,93,93,0.989247311827957
"91",33,100,3000,NA,"br",NA,0.978494623655914,0.989130434782609,3,92,93,0.983783783783784
"92",33,1000,3000,NA,"br",NA,0.978494623655914,0.978494623655914,4,93,93,0.978494623655914
"93",33,1,3000,NA,NA,NA,0.959459459459459,0.8875,12,80,74,0.922077922077922
"94",33,10,3000,NA,"br",NA,0.959459459459459,0.934210526315789,8,76,74,0.946666666666667
"95",33,100,3000,NA,"br",NA,0.959459459459459,0.922077922077922,9,77,74,0.940397350993378
"96",33,1000,3000,NA,"br",NA,0.959459459459459,0.946666666666667,7,75,74,0.953020134228188
"97",33,1,3000,NA,NA,NA,0.957446808510638,0.967741935483871,7,93,94,0.962566844919786
"98",33,10,3000,NA,"br",NA,0.936170212765957,0.977777777777778,8,90,94,0.956521739130435
"99",33,100,3000,NA,"br",NA,0.936170212765957,0.977777777777778,8,90,94,0.956521739130435
"100",33,1000,3000,NA,"br",NA,0.936170212765957,0.977777777777778,8,90,94,0.956521739130435
"101",33,1,3000,NA,NA,NA,0.956989247311828,0.956989247311828,8,93,93,0.956989247311828
"102",33,10,3000,NA,"br",NA,0.967741935483871,0.957446808510638,7,94,93,0.962566844919786
"103",33,100,3000,NA,"br",NA,0.967741935483871,0.978260869565217,5,92,93,0.972972972972973
"104",33,1000,3000,NA,"br",NA,0.967741935483871,0.978260869565217,5,92,93,0.972972972972973
"105",33,1,3000,NA,NA,NA,0.965909090909091,0.955056179775281,7,89,88,0.96045197740113
"106",33,10,3000,NA,"br",NA,0.954545454545455,0.976744186046512,6,86,88,0.96551724137931
"107",33,100,3000,NA,"br",NA,0.965909090909091,0.977011494252874,5,87,88,0.971428571428571
"108",33,1000,3000,NA,"br",NA,0.954545454545455,0.976744186046512,6,86,88,0.96551724137931
"109",33,1,3000,NA,NA,NA,1,0.988235294117647,1,85,84,0.994082840236686
"110",33,10,3000,NA,"br",NA,0.976190476190476,0.976190476190476,4,84,84,0.976190476190476
"111",33,100,3000,NA,"br",NA,0.964285714285714,0.975903614457831,5,83,84,0.970059880239521
"112",33,1000,3000,NA,"br",NA,0.964285714285714,0.975903614457831,5,83,84,0.970059880239521
"113",33,1,3000,NA,NA,NA,0.988888888888889,0.978021978021978,3,91,90,0.983425414364641
"114",33,10,3000,NA,"br",NA,0.977777777777778,1,2,88,90,0.98876404494382
"115",33,100,3000,NA,"br",NA,0.977777777777778,0.98876404494382,3,89,90,0.983240223463687
"116",33,1000,3000,NA,"br",NA,0.977777777777778,0.98876404494382,3,89,90,0.983240223463687
"117",33,1,3000,NA,NA,NA,0.988888888888889,0.936842105263158,7,95,90,0.962162162162162
"118",33,10,3000,NA,"br",NA,0.944444444444444,0.955056179775281,9,89,90,0.949720670391061
"119",33,100,3000,NA,"br",NA,0.944444444444444,0.955056179775281,9,89,90,0.949720670391061
"120",33,1000,3000,NA,"br",NA,0.944444444444444,0.955056179775281,9,89,90,0.949720670391061
"121",33,1,3000,NA,NA,NA,0.967741935483871,0.978260869565217,5,92,93,0.972972972972973
"122",33,10,3000,NA,"br",NA,0.978494623655914,1,2,91,93,0.989130434782609
"123",33,100,3000,NA,"br",NA,0.978494623655914,1,2,91,93,0.989130434782609
"124",33,1000,3000,NA,"br",NA,0.978494623655914,1,2,91,93,0.989130434782609
"125",33,1,3000,NA,NA,NA,1,0.9375,5,80,75,0.967741935483871
"126",33,10,3000,NA,"br",NA,1,0.986842105263158,1,76,75,0.993377483443709
"127",33,100,3000,NA,"br",NA,1,0.974025974025974,2,77,75,0.986842105263158
"128",33,1000,3000,NA,"br",NA,1,0.986842105263158,1,76,75,0.993377483443709
"129",33,1,3000,NA,NA,NA,0.967032967032967,0.916666666666667,11,96,91,0.941176470588235
"130",33,10,3000,NA,"br",NA,0.978021978021978,0.956989247311828,6,93,91,0.967391304347826
"131",33,100,3000,NA,"br",NA,0.978021978021978,0.956989247311828,6,93,91,0.967391304347826
"132",33,1000,3000,NA,"br",NA,0.978021978021978,0.956989247311828,6,93,91,0.967391304347826
"133",33,1,3000,NA,NA,NA,0.947916666666667,0.919191919191919,13,99,96,0.933333333333333
"134",33,10,3000,NA,"br",NA,0.979166666666667,0.979166666666667,4,96,96,0.979166666666667
"135",33,100,3000,NA,"br",NA,0.958333333333333,0.968421052631579,7,95,96,0.963350785340314
"136",33,1000,3000,NA,"br",NA,0.958333333333333,0.968421052631579,7,95,96,0.963350785340314
"137",33,1,3000,NA,NA,NA,1,0.94,6,100,94,0.969072164948454
"138",33,10,3000,NA,"br",NA,0.978723404255319,0.978723404255319,4,94,94,0.978723404255319
"139",33,100,3000,NA,"br",NA,0.978723404255319,0.978723404255319,4,94,94,0.978723404255319
"140",33,1000,3000,NA,"br",NA,0.978723404255319,0.978723404255319,4,94,94,0.978723404255319
"141",33,1,3000,NA,NA,NA,0.976190476190476,0.964705882352941,5,85,84,0.970414201183432
"142",33,10,3000,NA,"br",NA,0.988095238095238,0.988095238095238,2,84,84,0.988095238095238
"143",33,100,3000,NA,"br",NA,0.964285714285714,0.98780487804878,4,82,84,0.975903614457831
"144",33,1000,3000,NA,"br",NA,0.976190476190476,0.987951807228916,3,83,84,0.982035928143713
"145",33,1,3000,NA,NA,NA,0.986842105263158,0.914634146341463,8,82,76,0.949367088607595
"146",33,10,3000,NA,"br",NA,1,0.938271604938272,5,81,76,0.968152866242038
"147",33,100,3000,NA,"br",NA,0.986842105263158,0.949367088607595,5,79,76,0.967741935483871
"148",33,1000,3000,NA,"br",NA,0.986842105263158,0.9375,6,80,76,0.961538461538461
"149",33,1,3000,NA,NA,NA,0.973684210526316,0.948717948717949,6,78,76,0.961038961038961
"150",33,10,3000,NA,"br",NA,0.973684210526316,0.961038961038961,5,77,76,0.967320261437909
"151",33,100,3000,NA,"br",NA,0.986842105263158,0.986842105263158,2,76,76,0.986842105263158
"152",33,1000,3000,NA,"br",NA,0.973684210526316,0.986666666666667,3,75,76,0.980132450331126
"153",33,1,3000,NA,NA,NA,0.952380952380952,0.963855421686747,7,83,84,0.958083832335329
"154",33,10,3000,NA,"br",NA,0.964285714285714,0.98780487804878,4,82,84,0.975903614457831
"155",33,100,3000,NA,"br",NA,0.952380952380952,1,4,80,84,0.975609756097561
"156",33,1000,3000,NA,"br",NA,0.964285714285714,0.98780487804878,4,82,84,0.975903614457831
"157",33,1,3000,NA,NA,NA,0.956043956043956,0.956043956043956,8,91,91,0.956043956043956
"158",33,10,3000,NA,"br",NA,0.967032967032967,0.977777777777778,5,90,91,0.972375690607735
"159",33,100,3000,NA,"br",NA,0.967032967032967,0.977777777777778,5,90,91,0.972375690607735
"160",33,1000,3000,NA,"br",NA,0.967032967032967,0.977777777777778,5,90,91,0.972375690607735
"161",33,1,3000,NA,NA,NA,0.948453608247423,0.968421052631579,8,95,97,0.958333333333333
"162",33,10,3000,NA,"br",NA,0.938144329896907,1,6,91,97,0.968085106382979
"163",33,100,3000,NA,"br",NA,0.948453608247423,1,5,92,97,0.973544973544973
"164",33,1000,3000,NA,"br",NA,0.948453608247423,1,5,92,97,0.973544973544973
"165",33,1,3000,NA,NA,NA,0.972972972972973,0.888888888888889,11,81,74,0.929032258064516
"166",33,10,3000,NA,"br",NA,0.986486486486487,0.973333333333333,3,75,74,0.979865771812081
"167",33,100,3000,NA,"br",NA,0.972972972972973,0.972972972972973,4,74,74,0.972972972972973
"168",33,1000,3000,NA,"br",NA,0.972972972972973,0.96,5,75,74,0.966442953020134
"169",33,1,3000,NA,NA,NA,0.966292134831461,0.924731182795699,10,93,89,0.945054945054945
"170",33,10,3000,NA,"br",NA,0.97752808988764,0.956043956043956,6,91,89,0.966666666666667
"171",33,100,3000,NA,"br",NA,0.97752808988764,0.956043956043956,6,91,89,0.966666666666667
"172",33,1000,3000,NA,"br",NA,0.97752808988764,0.956043956043956,6,91,89,0.966666666666667
"173",33,1,3000,NA,NA,NA,0.954545454545455,0.91304347826087,12,92,88,0.933333333333333
"174",33,10,3000,NA,"br",NA,0.954545454545455,0.96551724137931,7,87,88,0.96
"175",33,100,3000,NA,"br",NA,0.954545454545455,0.96551724137931,7,87,88,0.96
"176",33,1000,3000,NA,"br",NA,0.954545454545455,0.96551724137931,7,87,88,0.96
"177",33,1,3000,NA,NA,NA,1,0.91358024691358,7,81,74,0.954838709677419
"178",33,10,3000,NA,"br",NA,0.986486486486487,0.960526315789474,4,76,74,0.973333333333333
"179",33,100,3000,NA,"br",NA,0.986486486486487,0.948051948051948,5,77,74,0.966887417218543
"180",33,1000,3000,NA,"br",NA,0.986486486486487,0.948051948051948,5,77,74,0.966887417218543
"181",33,1,3000,NA,NA,NA,0.977272727272727,0.988505747126437,3,87,88,0.982857142857143
"182",33,10,3000,NA,"br",NA,0.988636363636364,0.966666666666667,4,90,88,0.97752808988764
"183",33,100,3000,NA,"br",NA,0.988636363636364,0.97752808988764,3,89,88,0.983050847457627
"184",33,1000,3000,NA,"br",NA,0.988636363636364,0.97752808988764,3,89,88,0.983050847457627
"185",33,1,3000,NA,NA,NA,0.989795918367347,0.97,4,100,98,0.97979797979798
"186",33,10,3000,NA,"br",NA,1,0.96078431372549,4,102,98,0.98
"187",33,100,3000,NA,"br",NA,1,0.98,2,100,98,0.98989898989899
"188",33,1000,3000,NA,"br",NA,1,0.96078431372549,4,102,98,0.98
"189",33,1,3000,NA,NA,NA,0.974358974358974,0.962025316455696,5,79,78,0.968152866242038
"190",33,10,3000,NA,"br",NA,0.987179487179487,1,1,77,78,0.993548387096774
"191",33,100,3000,NA,"br",NA,0.974358974358974,1,2,76,78,0.987012987012987
"192",33,1000,3000,NA,"br",NA,0.974358974358974,1,2,76,78,0.987012987012987
"193",33,1,3000,NA,NA,NA,0.98780487804878,0.941860465116279,6,86,82,0.964285714285714
"194",33,10,3000,NA,"br",NA,0.98780487804878,0.964285714285714,4,84,82,0.975903614457831
"195",33,100,3000,NA,"br",NA,0.98780487804878,0.98780487804878,2,82,82,0.98780487804878
"196",33,1000,3000,NA,"br",NA,0.98780487804878,0.98780487804878,2,82,82,0.98780487804878
"197",33,1,3000,NA,NA,NA,0.96551724137931,0.943820224719101,8,89,87,0.954545454545454
"198",33,10,3000,NA,"br",NA,0.988505747126437,0.966292134831461,4,89,87,0.977272727272727
"199",33,100,3000,NA,"br",NA,0.988505747126437,0.966292134831461,4,89,87,0.977272727272727
"200",33,1000,3000,NA,"br",NA,0.988505747126437,0.966292134831461,4,89,87,0.977272727272727
"201",33,1,3000,NA,NA,NA,0.977011494252874,0.965909090909091,5,88,87,0.971428571428571
"202",33,10,3000,NA,"br",NA,0.977011494252874,0.988372093023256,3,86,87,0.982658959537572
"203",33,100,3000,NA,"br",NA,0.977011494252874,0.977011494252874,4,87,87,0.977011494252874
"204",33,1000,3000,NA,"br",NA,0.988505747126437,0.977272727272727,3,88,87,0.982857142857143
"205",33,1,3000,NA,NA,NA,0.960526315789474,0.9125,10,80,76,0.935897435897436
"206",33,10,3000,NA,"br",NA,0.973684210526316,0.973684210526316,4,76,76,0.973684210526316
"207",33,100,3000,NA,"br",NA,0.973684210526316,0.986666666666667,3,75,76,0.980132450331126
"208",33,1000,3000,NA,"br",NA,0.973684210526316,0.986666666666667,3,75,76,0.980132450331126
"209",33,1,3000,NA,NA,NA,0.976744186046512,0.954545454545455,6,88,86,0.96551724137931
"210",33,10,3000,NA,"br",NA,0.953488372093023,0.953488372093023,8,86,86,0.953488372093023
"211",33,100,3000,NA,"br",NA,0.965116279069767,0.943181818181818,8,88,86,0.954022988505747
"212",33,1000,3000,NA,"br",NA,0.953488372093023,0.942528735632184,9,87,86,0.947976878612717
"213",33,1,3000,NA,NA,NA,0.957142857142857,0.943661971830986,7,71,70,0.950354609929078
"214",33,10,3000,NA,"br",NA,0.942857142857143,0.942857142857143,8,70,70,0.942857142857143
"215",33,100,3000,NA,"br",NA,0.942857142857143,0.942857142857143,8,70,70,0.942857142857143
"216",33,1000,3000,NA,"br",NA,0.942857142857143,0.956521739130435,7,69,70,0.949640287769784
"217",33,1,3000,NA,NA,NA,0.944444444444444,0.955056179775281,9,89,90,0.949720670391061
"218",33,10,3000,NA,"br",NA,0.944444444444444,0.988372093023256,6,86,90,0.965909090909091
"219",33,100,3000,NA,"br",NA,0.966666666666667,0.988636363636364,4,88,90,0.97752808988764
"220",33,1000,3000,NA,"br",NA,0.966666666666667,0.988636363636364,4,88,90,0.97752808988764
"221",33,1,3000,NA,NA,NA,0.972972972972973,0.947368421052632,6,76,74,0.96
"222",33,10,3000,NA,"br",NA,0.986486486486487,0.986486486486487,2,74,74,0.986486486486487
"223",33,100,3000,NA,"br",NA,0.986486486486487,0.973333333333333,3,75,74,0.979865771812081
"224",33,1000,3000,NA,"br",NA,0.986486486486487,0.973333333333333,3,75,74,0.979865771812081
"225",33,1,3000,NA,NA,NA,0.970588235294118,1,3,99,102,0.985074626865672
"226",33,10,3000,NA,"br",NA,0.96078431372549,1,4,98,102,0.98
"227",33,100,3000,NA,"br",NA,0.970588235294118,1,3,99,102,0.985074626865672
"228",33,1000,3000,NA,"br",NA,0.970588235294118,1,3,99,102,0.985074626865672
"229",33,1,3000,NA,NA,NA,0.971014492753623,0.917808219178082,8,73,69,0.943661971830986
"230",33,10,3000,NA,"br",NA,0.985507246376812,0.985507246376812,2,69,69,0.985507246376812
"231",33,100,3000,NA,"br",NA,0.985507246376812,1,1,68,69,0.992700729927007
"232",33,1000,3000,NA,"br",NA,0.985507246376812,1,1,68,69,0.992700729927007
"233",33,1,3000,NA,NA,NA,0.987951807228916,0.911111111111111,9,90,83,0.947976878612717
"234",33,10,3000,NA,"br",NA,0.975903614457831,0.964285714285714,5,84,83,0.970059880239521
"235",33,100,3000,NA,"br",NA,0.975903614457831,0.964285714285714,5,84,83,0.970059880239521
"236",33,1000,3000,NA,"br",NA,0.975903614457831,0.964285714285714,5,84,83,0.970059880239521
"237",33,1,3000,NA,NA,NA,0.966292134831461,0.945054945054945,8,91,89,0.955555555555556
"238",33,10,3000,NA,"br",NA,0.97752808988764,0.966666666666667,5,90,89,0.972067039106145
"239",33,100,3000,NA,"br",NA,0.97752808988764,0.966666666666667,5,90,89,0.972067039106145
"240",33,1000,3000,NA,"br",NA,0.97752808988764,0.97752808988764,4,89,89,0.97752808988764
"241",33,1,3000,NA,NA,NA,0.978947368421053,0.948979591836735,7,98,95,0.963730569948187
"242",33,10,3000,NA,"br",NA,0.989473684210526,0.959183673469388,5,98,95,0.974093264248705
"243",33,100,3000,NA,"br",NA,0.989473684210526,0.959183673469388,5,98,95,0.974093264248705
"244",33,1000,3000,NA,"br",NA,0.989473684210526,0.959183673469388,5,98,95,0.974093264248705
"245",33,1,3000,NA,NA,NA,0.945945945945946,0.886075949367089,13,79,74,0.915032679738562
"246",33,10,3000,NA,"br",NA,0.945945945945946,1,4,70,74,0.972222222222222
"247",33,100,3000,NA,"br",NA,0.945945945945946,0.985915492957746,5,71,74,0.96551724137931
"248",33,1000,3000,NA,"br",NA,0.945945945945946,1,4,70,74,0.972222222222222
"249",33,1,3000,NA,NA,NA,0.941860465116279,0.89010989010989,15,91,86,0.915254237288136
"250",33,10,3000,NA,"br",NA,0.941860465116279,0.975903614457831,7,83,86,0.958579881656805
"251",33,100,3000,NA,"br",NA,0.953488372093023,0.976190476190476,6,84,86,0.964705882352941
"252",33,1000,3000,NA,"br",NA,0.941860465116279,0.964285714285714,8,84,86,0.952941176470588
"253",33,1,3000,NA,NA,NA,0.97752808988764,0.988636363636364,3,88,89,0.983050847457627
"254",33,10,3000,NA,"br",NA,0.955056179775281,1,4,85,89,0.977011494252874
"255",33,100,3000,NA,"br",NA,0.97752808988764,1,2,87,89,0.988636363636364
"256",33,1000,3000,NA,"br",NA,0.966292134831461,1,3,86,89,0.982857142857143
"257",33,1,3000,NA,NA,NA,0.975903614457831,0.920454545454545,9,88,83,0.947368421052632
"258",33,10,3000,NA,"br",NA,0.975903614457831,0.952941176470588,6,85,83,0.964285714285714
"259",33,100,3000,NA,"br",NA,0.975903614457831,0.952941176470588,6,85,83,0.964285714285714
"260",33,1000,3000,NA,"br",NA,0.975903614457831,0.952941176470588,6,85,83,0.964285714285714
"261",33,1,3000,NA,NA,NA,0.974683544303797,0.905882352941176,10,85,79,0.939024390243902
"262",33,10,3000,NA,"br",NA,0.987341772151899,0.951219512195122,5,82,79,0.968944099378882
"263",33,100,3000,NA,"br",NA,0.987341772151899,0.962962962962963,4,81,79,0.975
"264",33,1000,3000,NA,"br",NA,0.987341772151899,0.975,3,80,79,0.981132075471698
"265",33,1,3000,NA,NA,NA,0.946666666666667,0.934210526315789,9,76,75,0.940397350993378
"266",33,10,3000,NA,"br",NA,0.933333333333333,0.958904109589041,8,73,75,0.945945945945946
"267",33,100,3000,NA,"br",NA,0.96,0.986301369863014,4,73,75,0.972972972972973
"268",33,1000,3000,NA,"br",NA,0.96,0.986301369863014,4,73,75,0.972972972972973
"269",33,1,3000,NA,NA,NA,0.989130434782609,0.968085106382979,4,94,92,0.978494623655914
"270",33,10,3000,NA,"br",NA,1,0.989247311827957,1,93,92,0.994594594594595
"271",33,100,3000,NA,"br",NA,1,0.989247311827957,1,93,92,0.994594594594595
"272",33,1000,3000,NA,"br",NA,1,0.989247311827957,1,93,92,0.994594594594595
"273",33,1,3000,NA,NA,NA,0.978494623655914,0.968085106382979,5,94,93,0.973262032085562
"274",33,10,3000,NA,"br",NA,1,1,0,93,93,1
"275",33,100,3000,NA,"br",NA,0.989247311827957,1,1,92,93,0.994594594594595
"276",33,1000,3000,NA,"br",NA,0.989247311827957,1,1,92,93,0.994594594594595
"277",33,1,3000,NA,NA,NA,0.975,0.951219512195122,6,82,80,0.962962962962963
"278",33,10,3000,NA,"br",NA,0.925,0.961038961038961,9,77,80,0.942675159235669
"279",33,100,3000,NA,"br",NA,0.95,0.974358974358974,6,78,80,0.962025316455696
"280",33,1000,3000,NA,"br",NA,0.95,0.974358974358974,6,78,80,0.962025316455696
"281",33,1,3000,NA,NA,NA,0.945945945945946,0.909090909090909,11,77,74,0.927152317880795
"282",33,10,3000,NA,"br",NA,0.986486486486487,0.986486486486487,2,74,74,0.986486486486487
"283",33,100,3000,NA,"br",NA,0.972972972972973,1,2,72,74,0.986301369863014
"284",33,1000,3000,NA,"br",NA,0.972972972972973,0.986301369863014,3,73,74,0.979591836734694
"285",33,1,3000,NA,NA,NA,0.9625,0.905882352941176,11,85,80,0.933333333333333
"286",33,10,3000,NA,"br",NA,0.975,0.928571428571429,8,84,80,0.951219512195122
"287",33,100,3000,NA,"br",NA,0.975,0.951219512195122,6,82,80,0.962962962962963
"288",33,1000,3000,NA,"br",NA,0.975,0.939759036144578,7,83,80,0.957055214723926
"289",33,1,3000,NA,NA,NA,1,0.91025641025641,7,78,71,0.953020134228188
"290",33,10,3000,NA,"br",NA,0.971830985915493,0.958333333333333,5,72,71,0.965034965034965
"291",33,100,3000,NA,"br",NA,0.985915492957746,0.958904109589041,4,73,71,0.972222222222222
