"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full","F1_score"
"1",33,1,3000,NA,NA,NA,0.987951807228916,0.942528735632184,6,87,83,0.964705882352941
"2",33,10,3000,NA,"br",NA,0.963855421686747,0.975609756097561,5,82,83,0.96969696969697
"3",33,100,3000,NA,"br",NA,0.975903614457831,0.964285714285714,5,84,83,0.970059880239521
"4",33,1000,3000,NA,"br",NA,0.975903614457831,0.964285714285714,5,84,83,0.970059880239521
"5",33,1,3000,NA,NA,NA,0.965909090909091,0.944444444444444,8,90,88,0.955056179775281
"6",33,10,3000,NA,"br",NA,1,0.977777777777778,2,90,88,0.98876404494382
"7",33,100,3000,NA,"br",NA,1,0.98876404494382,1,89,88,0.994350282485876
"8",33,1000,3000,NA,"br",NA,1,0.98876404494382,1,89,88,0.994350282485876
"9",33,1,3000,NA,NA,NA,0.954545454545455,0.954545454545455,8,88,88,0.954545454545455
"10",33,10,3000,NA,"br",NA,0.954545454545455,0.96551724137931,7,87,88,0.96
"11",33,100,3000,NA,"br",NA,0.977272727272727,0.966292134831461,5,89,88,0.971751412429379
"12",33,1000,3000,NA,"br",NA,0.977272727272727,0.966292134831461,5,89,88,0.971751412429379
"13",33,1,3000,NA,NA,NA,0.976744186046512,0.943820224719101,7,89,86,0.96
"14",33,10,3000,NA,"br",NA,0.941860465116279,0.964285714285714,8,84,86,0.952941176470588
"15",33,100,3000,NA,"br",NA,0.953488372093023,0.976190476190476,6,84,86,0.964705882352941
"16",33,1000,3000,NA,"br",NA,0.953488372093023,0.964705882352941,7,85,86,0.95906432748538
"17",33,1,3000,NA,NA,NA,0.953488372093023,0.942528735632184,9,87,86,0.947976878612717
"18",33,10,3000,NA,"br",NA,0.941860465116279,0.964285714285714,8,84,86,0.952941176470588
"19",33,100,3000,NA,"br",NA,0.953488372093023,0.976190476190476,6,84,86,0.964705882352941
"20",33,1000,3000,NA,"br",NA,0.953488372093023,0.976190476190476,6,84,86,0.964705882352941
"21",33,1,3000,NA,NA,NA,0.965909090909091,0.934065934065934,9,91,88,0.949720670391061
"22",33,10,3000,NA,"br",NA,0.965909090909091,0.944444444444444,8,90,88,0.955056179775281
"23",33,100,3000,NA,"br",NA,0.965909090909091,0.955056179775281,7,89,88,0.96045197740113
"24",33,1000,3000,NA,"br",NA,0.965909090909091,0.955056179775281,7,89,88,0.96045197740113
"25",33,1,3000,NA,NA,NA,0.918604651162791,0.929411764705882,13,85,86,0.923976608187134
"26",33,10,3000,NA,"br",NA,0.930232558139535,0.952380952380952,10,84,86,0.941176470588235
"27",33,100,3000,NA,"br",NA,0.941860465116279,0.931034482758621,11,87,86,0.936416184971098
"28",33,1000,3000,NA,"br",NA,0.930232558139535,0.930232558139535,12,86,86,0.930232558139535
"29",33,1,3000,NA,NA,NA,0.941860465116279,0.931034482758621,11,87,86,0.936416184971098
"30",33,10,3000,NA,"br",NA,0.953488372093023,0.976190476190476,6,84,86,0.964705882352941
"31",33,100,3000,NA,"br",NA,0.965116279069767,0.976470588235294,5,85,86,0.970760233918129
"32",33,1000,3000,NA,"br",NA,0.965116279069767,0.976470588235294,5,85,86,0.970760233918129
"33",33,1,3000,NA,NA,NA,0.975903614457831,0.920454545454545,9,88,83,0.947368421052632
"34",33,10,3000,NA,"br",NA,0.975903614457831,0.975903614457831,4,83,83,0.975903614457831
"35",33,100,3000,NA,"br",NA,0.975903614457831,0.975903614457831,4,83,83,0.975903614457831
"36",33,1000,3000,NA,"br",NA,0.975903614457831,0.975903614457831,4,83,83,0.975903614457831
"37",33,1,3000,NA,NA,NA,1,0.939024390243902,5,82,77,0.968553459119497
"38",33,10,3000,NA,"br",NA,1,0.939024390243902,5,82,77,0.968553459119497
"39",33,100,3000,NA,"br",NA,1,0.950617283950617,4,81,77,0.974683544303797
"40",33,1000,3000,NA,"br",NA,1,0.950617283950617,4,81,77,0.974683544303797
"41",33,1,3000,NA,NA,NA,0.972602739726027,0.922077922077922,8,77,73,0.946666666666667
"42",33,10,3000,NA,"br",NA,0.972602739726027,0.986111111111111,3,72,73,0.979310344827586
