"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","shd"
"1",33,1,3000,NA,NA,NA,0.987951807228916,0.942528735632184,6,6
"2",33,10,3000,NA,"old",NA,0.963855421686747,1,3,3
"3",33,10,3000,NA,"br",NA,0.975903614457831,0.964285714285714,5,5
"4",33,10,3000,NA,"reiter",NA,0.975903614457831,0.964285714285714,5,5
"5",33,100,3000,NA,"old",NA,0.975903614457831,0.964285714285714,5,5
"6",33,100,3000,NA,"br",NA,0.975903614457831,0.964285714285714,5,5
"7",33,100,3000,NA,"reiter",NA,0.975903614457831,0.964285714285714,5,5
"8",33,1000,3000,NA,"old",NA,0.975903614457831,0.964285714285714,5,5
"9",33,1000,3000,NA,"br",NA,0.975903614457831,0.964285714285714,5,5
"10",33,1000,3000,NA,"reiter",NA,0.975903614457831,0.964285714285714,5,5
"11",33,1,3000,NA,NA,NA,0.965909090909091,0.944444444444444,8,8
"12",33,10,3000,NA,"old",NA,0.909090909090909,1,8,9
"13",33,10,3000,NA,"br",NA,0.988636363636364,1,1,1
"14",33,10,3000,NA,"reiter",NA,0.988636363636364,1,1,1
"15",33,100,3000,NA,"old",NA,1,0.98876404494382,1,1
"16",33,100,3000,NA,"br",NA,1,0.98876404494382,1,1
"17",33,100,3000,NA,"reiter",NA,1,0.98876404494382,1,1
"18",33,1000,3000,NA,"old",NA,1,0.98876404494382,1,1
"19",33,1000,3000,NA,"br",NA,1,0.98876404494382,1,1
"20",33,1000,3000,NA,"reiter",NA,1,0.98876404494382,1,1
"21",33,1,3000,NA,NA,NA,0.954545454545455,0.954545454545455,8,8
"22",33,10,3000,NA,"old",NA,0.909090909090909,1,8,8
"23",33,10,3000,NA,"br",NA,0.965909090909091,0.965909090909091,6,6
"24",33,10,3000,NA,"reiter",NA,0.965909090909091,0.965909090909091,6,6
"25",33,100,3000,NA,"old",NA,0.965909090909091,0.965909090909091,6,6
"26",33,100,3000,NA,"br",NA,0.965909090909091,0.955056179775281,7,7
"27",33,100,3000,NA,"reiter",NA,0.965909090909091,0.955056179775281,7,7
"28",33,1000,3000,NA,"old",NA,0.965909090909091,0.965909090909091,6,6
"29",33,1000,3000,NA,"br",NA,0.977272727272727,0.966292134831461,5,5
"30",33,1000,3000,NA,"reiter",NA,0.977272727272727,0.966292134831461,5,5
"31",33,1,3000,NA,NA,NA,0.976744186046512,0.943820224719101,7,9
"32",33,10,3000,NA,"old",NA,0.930232558139535,1,6,9
"33",33,10,3000,NA,"br",NA,0.953488372093023,0.964705882352941,7,10
"34",33,10,3000,NA,"reiter",NA,0.953488372093023,0.964705882352941,7,10
"35",33,100,3000,NA,"old",NA,0.953488372093023,0.976190476190476,6,9
"36",33,100,3000,NA,"br",NA,0.953488372093023,0.976190476190476,6,9
"37",33,100,3000,NA,"reiter",NA,0.953488372093023,0.976190476190476,6,9
"38",33,1000,3000,NA,"old",NA,0.953488372093023,0.964705882352941,7,10
"39",33,1000,3000,NA,"br",NA,0.953488372093023,0.964705882352941,7,10
"40",33,1000,3000,NA,"reiter",NA,0.953488372093023,0.964705882352941,7,10
"41",33,1,3000,NA,NA,NA,0.953488372093023,0.942528735632184,9,9
"42",33,10,3000,NA,"old",NA,0.906976744186046,1,8,10
"43",33,10,3000,NA,"br",NA,0.965116279069767,0.976470588235294,5,6
"44",33,10,3000,NA,"reiter",NA,0.965116279069767,0.976470588235294,5,6
"45",33,100,3000,NA,"old",NA,0.953488372093023,0.964705882352941,7,8
"46",33,100,3000,NA,"br",NA,0.953488372093023,0.964705882352941,7,8
"47",33,100,3000,NA,"reiter",NA,0.953488372093023,0.964705882352941,7,8
"48",33,1000,3000,NA,"old",NA,0.953488372093023,0.976190476190476,6,7
"49",33,1000,3000,NA,"br",NA,0.953488372093023,0.976190476190476,6,7
"50",33,1000,3000,NA,"reiter",NA,0.953488372093023,0.976190476190476,6,7
"51",33,1,3000,NA,NA,NA,0.965909090909091,0.934065934065934,9,10
"52",33,10,3000,NA,"old",NA,0.909090909090909,1,8,8
"53",33,10,3000,NA,"br",NA,0.965909090909091,0.955056179775281,7,8
"54",33,10,3000,NA,"reiter",NA,0.965909090909091,0.955056179775281,7,8
"55",33,100,3000,NA,"old",NA,0.965909090909091,0.965909090909091,6,6
"56",33,100,3000,NA,"br",NA,0.965909090909091,0.955056179775281,7,7
"57",33,100,3000,NA,"reiter",NA,0.965909090909091,0.955056179775281,7,7
"58",33,1000,3000,NA,"old",NA,0.965909090909091,0.955056179775281,7,7
"59",33,1000,3000,NA,"br",NA,0.965909090909091,0.955056179775281,7,7
"60",33,1000,3000,NA,"reiter",NA,0.965909090909091,0.955056179775281,7,7
"61",33,1,3000,NA,NA,NA,0.918604651162791,0.929411764705882,13,13
"62",33,10,3000,NA,"old",NA,0.883720930232558,1,10,10
"63",33,10,3000,NA,"br",NA,0.930232558139535,0.941176470588235,11,11
"64",33,10,3000,NA,"reiter",NA,0.930232558139535,0.941176470588235,11,11
"65",33,100,3000,NA,"old",NA,0.930232558139535,0.941176470588235,11,11
"66",33,100,3000,NA,"br",NA,0.941860465116279,0.931034482758621,11,11
"67",33,100,3000,NA,"reiter",NA,0.941860465116279,0.931034482758621,11,11
"68",33,1000,3000,NA,"old",NA,0.930232558139535,0.930232558139535,12,12
"69",33,1000,3000,NA,"br",NA,0.930232558139535,0.930232558139535,12,12
"70",33,1000,3000,NA,"reiter",NA,0.930232558139535,0.930232558139535,12,12
"71",33,1,3000,NA,NA,NA,0.941860465116279,0.931034482758621,11,12
"72",33,10,3000,NA,"old",NA,0.825581395348837,1,15,16
"73",33,10,3000,NA,"br",NA,0.965116279069767,0.988095238095238,4,4
"74",33,10,3000,NA,"reiter",NA,0.965116279069767,0.988095238095238,4,4
"75",33,100,3000,NA,"old",NA,0.953488372093023,0.976190476190476,6,6
"76",33,100,3000,NA,"br",NA,0.965116279069767,0.965116279069767,6,6
"77",33,100,3000,NA,"reiter",NA,0.965116279069767,0.965116279069767,6,6
"78",33,1000,3000,NA,"old",NA,0.965116279069767,0.976470588235294,5,5
"79",33,1000,3000,NA,"br",NA,0.965116279069767,0.976470588235294,5,5
"80",33,1000,3000,NA,"reiter",NA,0.965116279069767,0.976470588235294,5,5
"81",33,1,3000,NA,NA,NA,0.975903614457831,0.920454545454545,9,10
"82",33,10,3000,NA,"old",NA,0.951807228915663,1,4,4
"83",33,10,3000,NA,"br",NA,0.975903614457831,0.964285714285714,5,6
"84",33,10,3000,NA,"reiter",NA,0.975903614457831,0.964285714285714,5,6
"85",33,100,3000,NA,"old",NA,0.975903614457831,0.975903614457831,4,5
"86",33,100,3000,NA,"br",NA,0.975903614457831,0.975903614457831,4,5
"87",33,100,3000,NA,"reiter",NA,0.975903614457831,0.975903614457831,4,5
"88",33,1000,3000,NA,"old",NA,0.975903614457831,0.975903614457831,4,5
"89",33,1000,3000,NA,"br",NA,0.975903614457831,0.975903614457831,4,5
"90",33,1000,3000,NA,"reiter",NA,0.975903614457831,0.975903614457831,4,5
"91",33,1,3000,NA,NA,NA,1,0.939024390243902,5,5
"92",33,10,3000,NA,"old",NA,0.987012987012987,0.987012987012987,2,3
"93",33,10,3000,NA,"br",NA,1,0.939024390243902,5,5
"94",33,10,3000,NA,"reiter",NA,1,0.939024390243902,5,5
"95",33,100,3000,NA,"old",NA,1,0.939024390243902,5,5
"96",33,100,3000,NA,"br",NA,1,0.927710843373494,6,6
"97",33,100,3000,NA,"reiter",NA,1,0.927710843373494,6,6
"98",33,1000,3000,NA,"old",NA,1,0.950617283950617,4,4
"99",33,1000,3000,NA,"br",NA,1,0.950617283950617,4,4
"100",33,1000,3000,NA,"reiter",NA,1,0.950617283950617,4,4
"101",33,1,3000,NA,NA,NA,0.972602739726027,0.922077922077922,8,10
"102",33,10,3000,NA,"old",NA,0.945205479452055,1,4,5
"103",33,10,3000,NA,"br",NA,0.972602739726027,0.972602739726027,4,4
"104",33,10,3000,NA,"reiter",NA,0.972602739726027,0.972602739726027,4,4
"105",33,100,3000,NA,"old",NA,0.986301369863014,0.986301369863014,2,3
"106",33,100,3000,NA,"br",NA,0.986301369863014,0.986301369863014,2,3
"107",33,100,3000,NA,"reiter",NA,0.986301369863014,0.986301369863014,2,3
"108",33,1000,3000,NA,"old",NA,0.986301369863014,0.986301369863014,2,3
"109",33,1000,3000,NA,"br",NA,0.986301369863014,0.986301369863014,2,3
"110",33,1000,3000,NA,"reiter",NA,0.986301369863014,0.986301369863014,2,3
"111",33,1,3000,NA,NA,NA,0.9125,0.879518072289157,17,18
"112",33,10,3000,NA,"old",NA,0.85,0.985507246376812,13,14
"113",33,10,3000,NA,"br",NA,0.9625,0.974683544303797,5,6
"114",33,10,3000,NA,"reiter",NA,0.9625,0.974683544303797,5,6
"115",33,100,3000,NA,"old",NA,0.9375,0.974025974025974,7,8
"116",33,100,3000,NA,"br",NA,0.9375,0.974025974025974,7,8
"117",33,100,3000,NA,"reiter",NA,0.9375,0.974025974025974,7,8
"118",33,1000,3000,NA,"old",NA,0.95,0.974358974358974,6,6
"119",33,1000,3000,NA,"br",NA,0.95,0.974358974358974,6,6
"120",33,1000,3000,NA,"reiter",NA,0.95,0.974358974358974,6,6
