"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full"
"1",33,1,100,NA,NA,NA,0.666666666666667,0.583333333333333,17,24,21
"2",33,10,100,NA,"br",NA,0.619047619047619,0.764705882352941,12,17,21
"3",33,100,100,NA,"br",NA,0.666666666666667,0.823529411764706,10,17,21
"4",33,1000,100,NA,"br",NA,0.714285714285714,0.833333333333333,9,18,21
"5",33,1,100,NA,NA,NA,0.625,0.576923076923077,20,26,24
"6",33,10,100,NA,"br",NA,0.75,0.72,13,25,24
"7",33,100,100,NA,"br",NA,0.75,0.818181818181818,10,22,24
"8",33,1000,100,NA,"br",NA,0.791666666666667,0.826086956521739,9,23,24
"9",33,1,100,NA,NA,NA,0.714285714285714,0.434782608695652,17,23,14
"10",33,10,100,NA,"br",NA,0.928571428571429,0.8125,4,16,14
"11",33,100,100,NA,"br",NA,0.857142857142857,0.8,5,15,14
"12",33,1000,100,NA,"br",NA,0.928571428571429,0.8125,4,16,14
"13",33,1,100,NA,NA,NA,0.782608695652174,0.692307692307692,13,26,23
"14",33,10,100,NA,"br",NA,0.695652173913043,0.615384615384615,17,26,23
"15",33,100,100,NA,"br",NA,0.652173913043478,0.625,17,24,23
"16",33,1000,100,NA,"br",NA,0.652173913043478,0.625,17,24,23
"17",33,1,100,NA,NA,NA,0.666666666666667,0.592592592592593,19,27,24
"18",33,10,100,NA,"br",NA,0.708333333333333,0.708333333333333,14,24,24
"19",33,100,100,NA,"br",NA,0.708333333333333,0.708333333333333,14,24,24
"20",33,1000,100,NA,"br",NA,0.708333333333333,0.708333333333333,14,24,24
"21",33,1,100,NA,NA,NA,0.75,0.7,16,30,28
"22",33,10,100,NA,"br",NA,0.785714285714286,0.846153846153846,10,26,28
"23",33,100,100,NA,"br",NA,0.785714285714286,0.916666666666667,8,24,28
"24",33,1000,100,NA,"br",NA,0.75,0.91304347826087,9,23,28
"25",33,1,100,NA,NA,NA,0.652173913043478,0.75,13,20,23
"26",33,10,100,NA,"br",NA,0.695652173913043,0.941176470588235,8,17,23
"27",33,100,100,NA,"br",NA,0.739130434782609,0.944444444444444,7,18,23
"28",33,1000,100,NA,"br",NA,0.695652173913043,0.941176470588235,8,17,23
"29",33,1,100,NA,NA,NA,0.666666666666667,0.64,17,25,24
"30",33,10,100,NA,"br",NA,0.875,0.954545454545455,4,22,24
"31",33,100,100,NA,"br",NA,0.791666666666667,0.904761904761905,7,21,24
"32",33,1000,100,NA,"br",NA,0.791666666666667,0.904761904761905,7,21,24
"33",33,1,100,NA,NA,NA,0.782608695652174,0.818181818181818,9,22,23
"34",33,10,100,NA,"br",NA,0.695652173913043,0.888888888888889,9,18,23
"35",33,100,100,NA,"br",NA,0.782608695652174,0.857142857142857,8,21,23
"36",33,1000,100,NA,"br",NA,0.782608695652174,0.818181818181818,9,22,23
"37",33,1,100,NA,NA,NA,0.884615384615385,0.741935483870968,11,31,26
"38",33,10,100,NA,"br",NA,0.769230769230769,0.833333333333333,10,24,26
"39",33,100,100,NA,"br",NA,0.807692307692308,0.91304347826087,7,23,26
"40",33,1000,100,NA,"br",NA,0.769230769230769,0.909090909090909,8,22,26
"41",33,1,100,NA,NA,NA,0.794117647058823,0.818181818181818,13,33,34
"42",33,10,100,NA,"br",NA,0.794117647058823,0.870967741935484,11,31,34
"43",33,100,100,NA,"br",NA,0.735294117647059,0.892857142857143,12,28,34
"44",33,1000,100,NA,"br",NA,0.735294117647059,0.892857142857143,12,28,34
"45",33,1,100,NA,NA,NA,0.714285714285714,0.441176470588235,25,34,21
"46",33,10,100,NA,"br",NA,0.666666666666667,0.736842105263158,12,19,21
"47",33,100,100,NA,"br",NA,0.666666666666667,0.666666666666667,14,21,21
"48",33,1000,100,NA,"br",NA,0.666666666666667,0.666666666666667,14,21,21
"49",33,1,100,NA,NA,NA,0.75,0.7,16,30,28
"50",33,10,100,NA,"br",NA,0.678571428571429,0.863636363636364,12,22,28
"51",33,100,100,NA,"br",NA,0.714285714285714,0.869565217391304,11,23,28
"52",33,1000,100,NA,"br",NA,0.714285714285714,0.869565217391304,11,23,28
"53",33,1,100,NA,NA,NA,0.85,0.548387096774194,17,31,20
"54",33,10,100,NA,"br",NA,0.75,0.833333333333333,8,18,20
"55",33,100,100,NA,"br",NA,0.75,0.789473684210526,9,19,20
"56",33,1000,100,NA,"br",NA,0.75,0.789473684210526,9,19,20
