"network","p","m","n","epoch","df_correction_method","mean_lambda","mean_df","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,100,500,2,"old",0.0222689274693687,2889827.06542814,0.9,0.925925925925926,0.980392156862745,5,11
"ecoli",46,100,500,2,"br",0.0222711552233916,481.14271795403,0.9,0.925925925925926,0.980392156862745,5,11
"ecoli",46,100,500,2,"reiter",0.0222711552233916,491.67809071436,0.9,0.925925925925926,0.980392156862745,5,11
"ecoli",46,100,500,3,"old",0.0190238862777054,2792665.62846631,0.9,0.981481481481482,1,1,1
"ecoli",46,100,500,3,"br",0.0190313581632942,483.18219648866,0.9,0.981481481481482,1,1,1
"ecoli",46,100,500,3,"reiter",0.0190313581632942,492.261291223654,0.9,0.981481481481482,1,1,1
"ecoli",46,100,500,4,"old",0.0198191702646096,7596815.06282056,0.9,0.981132075471698,1,1,1
"ecoli",46,100,500,4,"br",0.0198507023445662,482.629274680286,0.9,0.981132075471698,1,1,1
"ecoli",46,100,500,4,"reiter",0.0198507023445662,492.071770221557,0.9,0.981132075471698,1,1,1
"ecoli",46,100,500,5,"old",0.0202809827241567,3799652.31977171,0.9,0.964912280701754,1,2,3
"ecoli",46,100,500,5,"br",0.0202821413447846,482.472058951246,0.9,0.964912280701754,1,2,3
"ecoli",46,100,500,5,"reiter",0.0202821413447846,492.139416615802,0.9,0.964912280701754,1,2,3
"ecoli",46,100,500,6,"old",0.0192749679527864,2458673.60471957,0.9,1,0.964285714285714,2,5
"ecoli",46,100,500,6,"br",0.0192825425310457,483.052849618161,0.9,1,0.964285714285714,2,5
"ecoli",46,100,500,6,"reiter",0.0192825425310457,492.254295861531,0.9,1,0.964285714285714,2,5
"ecoli",46,100,500,7,"old",0.020981640485133,2805532.98269866,0.9,0.980392156862745,1,1,2
"ecoli",46,100,500,7,"br",0.0209854915300055,481.948084600041,0.9,0.980392156862745,1,1,2
"ecoli",46,100,500,7,"reiter",0.0209854915300055,491.932621717429,0.9,0.980392156862745,1,1,2
"ecoli",46,100,500,8,"old",0.0214683341020549,2533625.21777687,0.9,1,0.981481481481482,1,1
"ecoli",46,100,500,8,"br",0.0214675779672474,481.691589993757,0.9,1,0.981481481481482,1,1
"ecoli",46,100,500,8,"reiter",0.021467237754221,491.895152951762,0.9,1,0.981481481481482,1,1
"ecoli",46,100,500,9,"old",0.0204984806721335,2335236.91244348,0.9,1,0.962264150943396,2,8
"ecoli",46,100,500,9,"br",0.0205116174933092,482.237498933487,0.9,1,0.962264150943396,2,8
