"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","shd"
"1",33,1,100,NA,NA,NA,0.666666666666667,0.583333333333333,17,17
"2",33,10,100,0.0242570892167062,"old",56836.7196958298,0.619047619047619,0.764705882352941,12,12
"3",33,10,100,0.0242570892167062,"br",91.4628029704508,0.619047619047619,0.764705882352941,12,12
"4",33,10,100,0.0242570892167062,"reiter",91.8401567536934,0.619047619047619,0.764705882352941,12,12
"5",33,100,100,0.0675922467829617,"old",232093.216106668,0.666666666666667,0.777777777777778,11,11
"6",33,100,100,0.0675922467829617,"br",87.6926136292777,0.666666666666667,0.777777777777778,11,11
"7",33,100,100,0.0675922467829617,"reiter",93.5635338888816,0.666666666666667,0.777777777777778,11,11
"8",33,1000,100,0.0495799823692113,"old",2534252.38619471,0.714285714285714,0.833333333333333,9,9
"9",33,1000,100,0.0495799823692113,"br",89.8438351690067,0.714285714285714,0.833333333333333,9,9
"10",33,1000,100,0.0495799823692113,"reiter",94.311199279573,0.714285714285714,0.833333333333333,9,9
"11",33,1,100,NA,NA,NA,0.625,0.576923076923077,20,20
"12",33,10,100,NA,"old",NA,0.75,0.857142857142857,9,9
"13",33,10,100,NA,"br",NA,0.75,0.857142857142857,9,9
"14",33,10,100,NA,"reiter",NA,0.75,0.857142857142857,9,9
"15",33,100,100,NA,"old",NA,0.75,0.818181818181818,10,10
"16",33,100,100,NA,"br",NA,0.75,0.818181818181818,10,10
"17",33,100,100,NA,"reiter",NA,0.75,0.818181818181818,10,10
"18",33,1000,100,NA,"old",NA,0.791666666666667,0.826086956521739,9,9
"19",33,1000,100,NA,"br",NA,0.791666666666667,0.826086956521739,9,9
"20",33,1000,100,NA,"reiter",NA,0.791666666666667,0.826086956521739,9,9
"21",33,1,100,NA,NA,NA,0.714285714285714,0.434782608695652,17,17
"22",33,10,100,0.0953770758415572,"old",991.298509182576,0.785714285714286,0.733333333333333,7,7
"23",33,10,100,0.0953770758415572,"br",78.728590706695,0.785714285714286,0.733333333333333,7,7
"24",33,10,100,0.0953770758415572,"reiter",73.0424576457352,0.785714285714286,0.733333333333333,7,7
"25",33,100,100,0.0806974342843894,"old",15364.0247970261,0.714285714285714,0.769230769230769,7,7
"26",33,100,100,0.0806974342843894,"br",86.4371212650162,0.714285714285714,0.769230769230769,7,7
"27",33,100,100,0.0806974342843894,"reiter",93.5246961418748,0.714285714285714,0.769230769230769,7,7
"28",33,1000,100,0.105200343537754,"old",92149.0379920674,0.928571428571429,0.8125,4,4
"29",33,1000,100,0.105200343537754,"br",84.5374719722278,0.928571428571429,0.8125,4,4
"30",33,1000,100,0.105200343537754,"reiter",93.9812714804048,0.928571428571429,0.8125,4,4
"31",33,1,100,NA,NA,NA,0.782608695652174,0.692307692307692,13,13
"32",33,10,100,0.0498525092605417,"old",38601.6477023772,0.695652173913043,0.64,16,16
"33",33,10,100,0.0498525092605417,"br",86.8167866943265,0.695652173913043,0.64,16,16
"34",33,10,100,0.0498525092605417,"reiter",84.9824761134443,0.695652173913043,0.64,16,16
"35",33,100,100,0.0454382202763357,"old",136119.802681001,0.652173913043478,0.625,17,17
"36",33,100,100,0.0454382202763357,"br",90.0571454818155,0.652173913043478,0.625,17,17
"37",33,100,100,0.0454382202763357,"reiter",94.0820015790854,0.652173913043478,0.625,17,17
"38",33,1000,100,0.040588651497248,"old",1472327.57446886,0.652173913043478,0.625,17,17
"39",33,1000,100,0.040588651497248,"br",90.7091601998568,0.652173913043478,0.625,17,17
"40",33,1000,100,0.040588651497248,"reiter",94.368611160587,0.652173913043478,0.625,17,17
"41",33,1,100,NA,NA,NA,0.666666666666667,0.592592592592593,19,19
"42",33,10,100,0.0671011080544381,"old",2128.89181244328,0.75,0.692307692307692,14,14
"43",33,10,100,0.0671011080544381,"br",84.4590858263063,0.75,0.692307692307692,14,14
"44",33,10,100,0.0671011080544381,"reiter",82.2227676309219,0.75,0.692307692307692,14,14
"45",33,100,100,0.0530301700586962,"old",37968.2180979133,0.708333333333333,0.708333333333333,14,14
"46",33,100,100,0.0530301700586962,"br",89.3190881899506,0.708333333333333,0.708333333333333,14,14
"47",33,100,100,0.0530301700586962,"reiter",94.0322654245378,0.708333333333333,0.708333333333333,14,14
"48",33,1000,100,0.0697301319035957,"old",213566.870523381,0.708333333333333,0.708333333333333,14,14
"49",33,1000,100,0.0697301319035957,"br",87.9326486261426,0.708333333333333,0.708333333333333,14,14
"50",33,1000,100,0.0697301319035957,"reiter",94.2122120660117,0.708333333333333,0.708333333333333,14,14
"51",33,1,100,NA,NA,NA,0.75,0.7,16,17
"52",33,10,100,0.0678255556971458,"old",4628.85630828333,0.785714285714286,0.916666666666667,8,9
"53",33,10,100,0.0678255556971458,"br",83.4221375208183,0.785714285714286,0.916666666666667,8,9
"54",33,10,100,0.0678255556971458,"reiter",80.6337304435581,0.785714285714286,0.916666666666667,8,9
"55",33,100,100,0.0815520100183989,"old",69926.3056571903,0.785714285714286,0.846153846153846,10,10
"56",33,100,100,0.0815520100183989,"br",85.6721694225318,0.785714285714286,0.846153846153846,10,10
"57",33,100,100,0.0815520100183989,"reiter",92.6449114741638,0.785714285714286,0.846153846153846,10,10
"58",33,1000,100,0.0702091076868743,"old",783602.852921539,0.75,0.91304347826087,9,9
"59",33,1000,100,0.0702091076868743,"br",87.2758146873455,0.75,0.91304347826087,9,9
"60",33,1000,100,0.0702091076868743,"reiter",93.5265876241678,0.75,0.91304347826087,9,9
"61",33,1,100,NA,NA,NA,0.652173913043478,0.75,13,13
"62",33,10,100,0.0625300751634247,"old",6569.02197916808,0.695652173913043,0.941176470588235,8,8
"63",33,10,100,0.0625300751634247,"br",84.6002732534046,0.695652173913043,0.941176470588235,8,8
"64",33,10,100,0.0625300751634247,"reiter",82.2490604283327,0.695652173913043,0.941176470588235,8,8
"65",33,100,100,0.0661911062801918,"old",155932.370896686,0.739130434782609,0.944444444444444,7,7
"66",33,100,100,0.0661911062801918,"br",87.5553487193563,0.739130434782609,0.944444444444444,7,7
"67",33,100,100,0.0661911062801918,"reiter",93.3110220737381,0.739130434782609,0.944444444444444,7,7
"68",33,1000,100,0.0691234072772582,"old",1365346.62475173,0.695652173913043,0.941176470588235,8,8
"69",33,1000,100,0.0691234072772582,"br",87.6667881320118,0.695652173913043,0.941176470588235,8,8
"70",33,1000,100,0.0691234072772582,"reiter",93.8572536059531,0.695652173913043,0.941176470588235,8,8
"71",33,1,100,NA,NA,NA,0.666666666666667,0.64,17,17
"72",33,10,100,NA,"old",NA,0.833333333333333,0.952380952380952,5,5
"73",33,10,100,NA,"br",NA,0.833333333333333,0.952380952380952,5,5
"74",33,10,100,NA,"reiter",NA,0.833333333333333,0.952380952380952,5,5
"75",33,100,100,NA,"old",NA,0.75,0.947368421052632,7,7
"76",33,100,100,NA,"br",NA,0.75,0.947368421052632,7,7
"77",33,100,100,NA,"reiter",NA,0.75,0.947368421052632,7,7
"78",33,1000,100,NA,"old",NA,0.791666666666667,0.904761904761905,7,7
"79",33,1000,100,NA,"br",NA,0.791666666666667,0.904761904761905,7,7
"80",33,1000,100,NA,"reiter",NA,0.791666666666667,0.904761904761905,7,7
"81",33,1,100,NA,NA,NA,0.782608695652174,0.818181818181818,9,10
"82",33,10,100,0.0649637916317496,"old",10853.1718388186,0.739130434782609,0.739130434782609,12,13
"83",33,10,100,0.0649637916317496,"br",83.8952148788427,0.739130434782609,0.739130434782609,12,13
"84",33,10,100,0.0649637916317496,"reiter",81.0298092977253,0.739130434782609,0.739130434782609,12,13
"85",33,100,100,0.0485233667918739,"old",213976.441100882,0.782608695652174,0.818181818181818,9,9
"86",33,100,100,0.0485233667918739,"br",89.1536372808668,0.782608695652174,0.818181818181818,9,9
"87",33,100,100,0.0485233667918739,"reiter",93.3503170200771,0.782608695652174,0.818181818181818,9,9
"88",33,1000,100,0.0518347680820685,"old",1898632.76703007,0.782608695652174,0.818181818181818,9,9
"89",33,1000,100,0.0518347680820685,"br",89.1061844154282,0.782608695652174,0.818181818181818,9,9
"90",33,1000,100,0.0518347680820685,"reiter",93.7366199163085,0.782608695652174,0.818181818181818,9,9
"91",33,1,100,NA,NA,NA,0.884615384615385,0.741935483870968,11,12
