"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","shd"
"1",33,1,3000,NA,NA,NA,0.933333333333333,0.857142857142857,20,20
"2",33,10,3000,0.158044682682192,"old",500.083106210829,0.888888888888889,0.941176470588235,15,15
"3",33,10,3000,0.158044682682192,"br",392.582807898079,0.888888888888889,0.941176470588235,15,15
"4",33,10,3000,0.158044682682192,"reiter",168.384129617498,0.888888888888889,0.941176470588235,15,15
"5",33,100,3000,0.170717376230827,"old",3925.77686672596,0.911111111111111,0.942528735632184,13,13
"6",33,100,3000,0.170717376230827,"br",1454.6015782486,0.911111111111111,0.942528735632184,13,13
"7",33,100,3000,0.170717376230827,"reiter",1553.96522993899,0.911111111111111,0.942528735632184,13,13
"8",33,1000,3000,0.170464736826408,"old",39504.7343895916,0.911111111111111,0.942528735632184,13,13
"9",33,1000,3000,0.170464736826408,"br",2314.05396575949,0.911111111111111,0.942528735632184,13,13
"10",33,1000,3000,0.170464736826408,"reiter",2745.41230412487,0.911111111111111,0.942528735632184,13,13
"11",33,1,3000,NA,NA,NA,0.956043956043956,0.852941176470588,19,21
"12",33,10,3000,0.174444468579223,"old",525.873523230389,0.912087912087912,0.943181818181818,13,15
"13",33,10,3000,0.174444468579223,"br",359.095913177195,0.912087912087912,0.943181818181818,13,15
"14",33,10,3000,0.174444468579223,"reiter",159.343954755268,0.912087912087912,0.943181818181818,13,15
"15",33,100,3000,0.155392999824398,"old",4697.63481481765,0.934065934065934,0.944444444444444,11,13
"16",33,100,3000,0.155392999824398,"br",1582.28974127916,0.934065934065934,0.944444444444444,11,13
"17",33,100,3000,0.155392999824398,"reiter",1690.82385731047,0.934065934065934,0.944444444444444,11,13
"18",33,1000,3000,0.154835326131609,"old",46902.9376075594,0.934065934065934,0.955056179775281,10,12
"19",33,1000,3000,0.154835326131609,"br",2383.54017721581,0.934065934065934,0.955056179775281,10,12
"20",33,1000,3000,0.154835326131609,"reiter",2785.51201552098,0.934065934065934,0.955056179775281,10,12
"21",33,1,3000,NA,NA,NA,0.923913043478261,0.85,22,24
"22",33,10,3000,0.16584448861679,"old",639.805567317387,0.923913043478261,0.955056179775281,11,11
"23",33,10,3000,0.16584448861679,"br",395.822398901651,0.923913043478261,0.955056179775281,11,11
"24",33,10,3000,0.16584448861679,"reiter",180.495576638848,0.923913043478261,0.955056179775281,11,11
"25",33,100,3000,0.157238701617996,"old",4497.87343432583,0.934782608695652,0.966292134831461,9,9
"26",33,100,3000,0.157238701617996,"br",1563.84163233471,0.934782608695652,0.966292134831461,9,9
"27",33,100,3000,0.157238701617996,"reiter",1671.20853047081,0.934782608695652,0.966292134831461,9,9
"28",33,1000,3000,0.164981290451113,"old",38927.1477531949,0.945652173913043,0.956043956043956,9,9
"29",33,1000,3000,0.164981290451113,"br",2339.10379094167,0.945652173913043,0.956043956043956,9,9
"30",33,1000,3000,0.164981290451113,"reiter",2761.89843610215,0.945652173913043,0.956043956043956,9,9
"31",33,1,3000,NA,NA,NA,0.956043956043956,0.861386138613861,18,21
"32",33,10,3000,0.191541106698829,"old",436.352452650537,0.934065934065934,0.955056179775281,10,13
"33",33,10,3000,0.191541106698829,"br",329.281229100706,0.934065934065934,0.955056179775281,10,13
"34",33,10,3000,0.191541106698829,"reiter",144.447057200062,0.934065934065934,0.955056179775281,10,13
"35",33,100,3000,0.159580016036468,"old",4277.79607154824,0.934065934065934,0.977011494252874,8,11
"36",33,100,3000,0.159580016036468,"br",1545.70499648911,0.934065934065934,0.977011494252874,8,11
"37",33,100,3000,0.159580016036468,"reiter",1652.14392467298,0.934065934065934,0.977011494252874,8,11
"38",33,1000,3000,0.157699268616051,"old",41808.0168555181,0.945054945054945,0.966292134831461,8,11
"39",33,1000,3000,0.157699268616051,"br",2371.37866636152,0.945054945054945,0.966292134831461,8,11
"40",33,1000,3000,0.157699268616051,"reiter",2780.26977415738,0.945054945054945,0.966292134831461,8,11
"41",33,1,3000,NA,NA,NA,0.955555555555556,0.924731182795699,11,14
"42",33,10,3000,0.183686342838517,"old",365.037593087977,0.933333333333333,0.943820224719101,11,11
"43",33,10,3000,0.183686342838517,"br",292.079399025835,0.933333333333333,0.943820224719101,11,11
"44",33,10,3000,0.183686342838517,"reiter",124.838140140639,0.933333333333333,0.943820224719101,11,11
"45",33,100,3000,0.171289640456084,"old",3887.78330229897,0.944444444444444,0.955056179775281,9,11
"46",33,100,3000,0.171289640456084,"br",1446.0844830152,0.944444444444444,0.955056179775281,9,11
"47",33,100,3000,0.171289640456084,"reiter",1544.80938098808,0.944444444444444,0.955056179775281,9,11
"48",33,1000,3000,0.172243360811979,"old",38269.6296999628,0.933333333333333,0.943820224719101,11,12
"49",33,1000,3000,0.172243360811979,"br",2305.73134410125,0.933333333333333,0.943820224719101,11,12
"50",33,1000,3000,0.172243360811979,"reiter",2739.63099031615,0.933333333333333,0.943820224719101,11,12
"51",33,1,3000,NA,NA,NA,0.956989247311828,0.787610619469027,28,31
"52",33,10,3000,0.166509641517168,"old",735.884089544301,0.956989247311828,0.908163265306122,13,16
"53",33,10,3000,0.166509641517168,"br",488.653772709497,0.956989247311828,0.908163265306122,13,16
"54",33,10,3000,0.166509641517168,"reiter",224.434152964611,0.956989247311828,0.908163265306122,13,16
"55",33,100,3000,0.140952799616957,"old",7188.31534814842,0.956989247311828,0.927083333333333,11,14
"56",33,100,3000,0.140952799616957,"br",1741.37138953307,0.956989247311828,0.927083333333333,11,14
"57",33,100,3000,0.140952799616957,"reiter",1854.40789310754,0.956989247311828,0.927083333333333,11,14
"58",33,1000,3000,0.138767890397612,"old",67573.7180318647,0.946236559139785,0.926315789473684,12,15
"59",33,1000,3000,0.138767890397612,"br",2452.92636004317,0.946236559139785,0.926315789473684,12,15
"60",33,1000,3000,0.138767890397612,"reiter",2817.09652951914,0.946236559139785,0.926315789473684,12,15
"61",33,1,3000,NA,NA,NA,0.943820224719101,0.815533980582524,24,26
"62",33,10,3000,0.198535036879264,"old",458.800357328932,0.921348314606742,0.921348314606742,14,14
"63",33,10,3000,0.198535036879264,"br",341.563100372982,0.921348314606742,0.921348314606742,14,14
"64",33,10,3000,0.198535036879264,"reiter",151.21438336966,0.921348314606742,0.921348314606742,14,14
"65",33,100,3000,0.168154298172709,"old",3819.96904899751,0.921348314606742,0.931818181818182,13,13
"66",33,100,3000,0.168154298172709,"br",1472.27402585802,0.921348314606742,0.931818181818182,13,13
"67",33,100,3000,0.168154298172709,"reiter",1573.53411230773,0.921348314606742,0.931818181818182,13,13
"68",33,1000,3000,0.171060425934262,"old",35698.611445916,0.921348314606742,0.901098901098901,16,16
"69",33,1000,3000,0.171060425934262,"br",2312.43174816045,0.921348314606742,0.901098901098901,16,16
"70",33,1000,3000,0.171060425934262,"reiter",2746.38510005171,0.921348314606742,0.901098901098901,16,16
"71",33,1,3000,NA,NA,NA,0.97752808988764,0.828571428571429,20,20
"72",33,10,3000,0.198938348069133,"old",329.080716046231,0.932584269662921,0.922222222222222,13,13
"73",33,10,3000,0.198938348069133,"br",266.713681043529,0.932584269662921,0.922222222222222,13,13
"74",33,10,3000,0.198938348069133,"reiter",114.818731465732,0.932584269662921,0.922222222222222,13,13
"75",33,100,3000,0.172487937221955,"old",3674.55227844351,0.932584269662921,0.922222222222222,13,14
"76",33,100,3000,0.172487937221955,"br",1437.20844707324,0.932584269662921,0.922222222222222,13,14
"77",33,100,3000,0.172487937221955,"reiter",1535.65506560796,0.932584269662921,0.922222222222222,13,14
"78",33,1000,3000,0.171584561133223,"old",36376.8176285924,0.932584269662921,0.922222222222222,13,14
"79",33,1000,3000,0.171584561133223,"br",2309.4489231424,0.932584269662921,0.922222222222222,13,14
"80",33,1000,3000,0.171584561133223,"reiter",2743.61535484638,0.932584269662921,0.922222222222222,13,14
"81",33,1,3000,NA,NA,NA,0.953488372093023,0.845360824742268,19,21
"82",33,10,3000,0.154290153327747,"old",544.761656590068,0.930232558139535,0.930232558139535,12,13
"83",33,10,3000,0.154290153327747,"br",427.048717942661,0.930232558139535,0.930232558139535,12,13
"84",33,10,3000,0.154290153327747,"reiter",182.887131092618,0.930232558139535,0.930232558139535,12,13
"85",33,100,3000,0.15425139549007,"old",5474.19587868735,0.930232558139535,0.941176470588235,11,11
"86",33,100,3000,0.15425139549007,"br",1613.67828681603,0.930232558139535,0.941176470588235,11,11
"87",33,100,3000,0.15425139549007,"reiter",1721.41474048095,0.930232558139535,0.941176470588235,11,11
