"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full"
"71",33,1,100,NA,NA,NA,0.945945945945946,0.909090909090909,11,77,74
"72",33,1,100,NA,NA,NA,0.9625,0.905882352941176,11,85,80
"73",33,1,100,NA,NA,NA,1,0.91025641025641,7,78,71
"74",33,1,100,NA,NA,NA,0.944444444444444,0.977011494252874,7,87,90
"75",33,1,100,NA,NA,NA,0.975609756097561,0.930232558139535,8,86,82
"76",33,1,100,NA,NA,NA,0.98780487804878,0.975903614457831,3,83,82
"77",33,1,100,NA,NA,NA,0.977272727272727,0.988505747126437,3,87,88
"78",33,1,100,NA,NA,NA,0.977011494252874,0.988372093023256,3,86,87
"79",33,1,100,NA,NA,NA,0.946808510638298,0.967391304347826,8,92,94
"80",33,1,100,NA,NA,NA,0.961538461538462,0.974025974025974,5,77,78
"81",33,1,100,NA,NA,NA,0.929411764705882,0.951807228915663,10,83,85
"82",33,1,100,NA,NA,NA,0.975,0.962962962962963,5,81,80
"83",33,1,100,NA,NA,NA,0.97029702970297,0.98,5,100,101
"84",33,1,100,NA,NA,NA,0.974358974358974,0.926829268292683,8,82,78
"85",33,1,100,NA,NA,NA,0.959459459459459,0.91025641025641,10,78,74
"86",33,1,100,NA,NA,NA,0.974025974025974,0.892857142857143,11,84,77
"87",33,1,100,NA,NA,NA,0.96551724137931,0.954545454545455,7,88,87
"88",33,1,100,NA,NA,NA,0.953488372093023,0.931818181818182,10,88,86
"89",33,1,100,NA,NA,NA,0.946808510638298,0.946808510638298,10,94,94
"90",33,1,100,NA,NA,NA,0.971830985915493,0.958333333333333,5,72,71
"91",33,1,100,NA,NA,NA,0.931034482758621,0.910112359550562,14,89,87
"92",33,1,100,NA,NA,NA,0.987654320987654,0.941176470588235,6,85,81
"93",33,1,100,NA,NA,NA,0.967391304347826,0.988888888888889,4,90,92
"94",33,1,100,NA,NA,NA,0.949367088607595,0.961538461538462,7,78,79
"95",33,1,100,NA,NA,NA,0.987654320987654,0.941176470588235,6,85,81
"96",33,1,100,NA,NA,NA,0.977272727272727,0.945054945054945,7,91,88
"97",33,1,100,NA,NA,NA,0.961538461538462,0.961538461538462,6,78,78
"98",33,1,100,NA,NA,NA,0.985714285714286,0.92,7,75,70
"99",33,1,100,NA,NA,NA,0.956043956043956,0.896907216494845,14,97,91
"1",33,1,100,NA,NA,NA,0.987951807228916,0.942528735632184,6,0,83
"2",33,10,100,NA,"old",NA,0.963855421686747,0.975609756097561,5,82,83
