"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","shd"
"1",33,1,100,NA,NA,NA,0.722222222222222,0.590909090909091,14,21
"2",33,10,100,NA,"old",NA,0.5,0.9,10,15
"3",33,10,100,NA,"br",NA,0.722222222222222,0.8125,8,11
"4",33,10,100,NA,"reiter",NA,0.666666666666667,0.8,9,12
"5",33,100,100,NA,"old",NA,0.666666666666667,0.8,9,14
"6",33,100,100,NA,"br",NA,0.666666666666667,0.8,9,14
"7",33,100,100,NA,"reiter",NA,0.666666666666667,0.8,9,14
"8",33,1000,100,NA,"old",NA,0.722222222222222,0.8125,8,11
"9",33,1000,100,NA,"br",NA,0.666666666666667,0.857142857142857,8,13
"10",33,1000,100,NA,"reiter",NA,0.666666666666667,0.857142857142857,8,13
"11",33,1,100,NA,NA,NA,0.684210526315789,0.590909090909091,15,17
"12",33,10,100,NA,"old",NA,0.578947368421053,0.846153846153846,10,11
"13",33,10,100,NA,"br",NA,0.736842105263158,0.875,7,8
"14",33,10,100,NA,"reiter",NA,0.736842105263158,0.875,7,8
"15",33,100,100,NA,"old",NA,0.789473684210526,0.833333333333333,7,8
"16",33,100,100,NA,"br",NA,0.736842105263158,0.823529411764706,8,11
"17",33,100,100,NA,"reiter",NA,0.736842105263158,0.823529411764706,8,11
"18",33,1000,100,NA,"old",NA,0.789473684210526,0.833333333333333,7,8
"19",33,1000,100,NA,"br",NA,0.842105263157895,0.842105263157895,6,6
"20",33,1000,100,NA,"reiter",NA,0.842105263157895,0.842105263157895,6,6
"21",33,1,100,NA,NA,NA,0.615384615384615,0.444444444444444,15,17
"22",33,10,100,NA,"old",NA,0.461538461538462,0.857142857142857,8,10
"23",33,10,100,NA,"br",NA,0.769230769230769,0.714285714285714,7,8
"24",33,10,100,NA,"reiter",NA,0.769230769230769,0.714285714285714,7,8
"25",33,100,100,NA,"old",NA,0.692307692307692,0.75,7,10
"26",33,100,100,NA,"br",NA,0.692307692307692,0.75,7,10
"27",33,100,100,NA,"reiter",NA,0.692307692307692,0.75,7,10
"28",33,1000,100,NA,"old",NA,0.923076923076923,0.8,4,5
"29",33,1000,100,NA,"br",NA,0.769230769230769,0.769230769230769,6,8
"30",33,1000,100,NA,"reiter",NA,0.769230769230769,0.769230769230769,6,8
"31",33,1,100,NA,NA,NA,0.80952380952381,0.708333333333333,11,13
"32",33,10,100,NA,"old",NA,0.476190476190476,0.833333333333333,13,15
"33",33,10,100,NA,"br",NA,0.666666666666667,0.7,13,14
"34",33,10,100,NA,"reiter",NA,0.666666666666667,0.7,13,14
"35",33,100,100,NA,"old",NA,0.666666666666667,0.666666666666667,14,14
"36",33,100,100,NA,"br",NA,0.666666666666667,0.666666666666667,14,14
"37",33,100,100,NA,"reiter",NA,0.666666666666667,0.666666666666667,14,14
"38",33,1000,100,NA,"old",NA,0.666666666666667,0.666666666666667,14,14
"39",33,1000,100,NA,"br",NA,0.666666666666667,0.7,13,13
"40",33,1000,100,NA,"reiter",NA,0.666666666666667,0.7,13,13
"41",33,1,100,NA,NA,NA,0.6875,0.6875,10,14
"42",33,10,100,NA,"old",NA,0.5625,0.75,10,12
"43",33,10,100,NA,"br",NA,0.75,0.8,7,10
"44",33,10,100,NA,"reiter",NA,0.75,0.75,8,11
"45",33,100,100,NA,"old",NA,0.8125,0.866666666666667,5,7
"46",33,100,100,NA,"br",NA,0.8125,0.866666666666667,5,7
"47",33,100,100,NA,"reiter",NA,0.8125,0.866666666666667,5,7
"48",33,1000,100,NA,"old",NA,0.8125,0.8125,6,9
"49",33,1000,100,NA,"br",NA,0.75,0.857142857142857,6,8
"50",33,1000,100,NA,"reiter",NA,0.75,0.857142857142857,6,8
"51",33,1,100,NA,NA,NA,0.782608695652174,0.818181818181818,9,12
"52",33,10,100,NA,"old",NA,0.608695652173913,0.875,11,17
"53",33,10,100,NA,"br",NA,0.826086956521739,0.95,5,8
"54",33,10,100,NA,"reiter",NA,0.826086956521739,0.95,5,8
"55",33,100,100,NA,"old",NA,0.826086956521739,0.904761904761905,6,9
"56",33,100,100,NA,"br",NA,0.826086956521739,0.904761904761905,6,9
"57",33,100,100,NA,"reiter",NA,0.826086956521739,0.904761904761905,6,9
"58",33,1000,100,NA,"old",NA,0.782608695652174,0.947368421052632,6,10
"59",33,1000,100,NA,"br",NA,0.826086956521739,0.95,5,9
"60",33,1000,100,NA,"reiter",NA,0.826086956521739,0.95,5,9
"61",33,1,100,NA,NA,NA,0.578947368421053,0.647058823529412,14,20
"62",33,10,100,NA,"old",NA,0.578947368421053,1,8,14
"63",33,10,100,NA,"br",NA,0.684210526315789,1,6,13
"64",33,10,100,NA,"reiter",NA,0.684210526315789,1,6,13
"65",33,100,100,NA,"old",NA,0.684210526315789,1,6,13
"66",33,100,100,NA,"br",NA,0.684210526315789,1,6,13
"67",33,100,100,NA,"reiter",NA,0.684210526315789,1,6,13
"68",33,1000,100,NA,"old",NA,0.684210526315789,1,6,13
"69",33,1000,100,NA,"br",NA,0.684210526315789,1,6,13
"70",33,1000,100,NA,"reiter",NA,0.684210526315789,1,6,13
"71",33,1,100,NA,NA,NA,0.590909090909091,0.590909090909091,18,22
"72",33,10,100,NA,"old",NA,0.5,0.846153846153846,13,16
"73",33,10,100,NA,"br",NA,0.636363636363636,0.875,10,12
"74",33,10,100,NA,"reiter",NA,0.636363636363636,0.875,10,12
"75",33,100,100,NA,"old",NA,0.636363636363636,0.875,10,12
"76",33,100,100,NA,"br",NA,0.636363636363636,0.875,10,12
"77",33,100,100,NA,"reiter",NA,0.636363636363636,0.875,10,12
"78",33,1000,100,NA,"old",NA,0.636363636363636,0.875,10,12
"79",33,1000,100,NA,"br",NA,0.636363636363636,0.875,10,12
"80",33,1000,100,NA,"reiter",NA,0.636363636363636,0.875,10,12
"81",33,1,100,NA,NA,NA,0.722222222222222,0.619047619047619,13,17
"82",33,10,100,NA,"old",NA,0.444444444444444,1,10,14
"83",33,10,100,NA,"br",NA,0.666666666666667,0.923076923076923,7,10
"84",33,10,100,NA,"reiter",NA,0.666666666666667,0.923076923076923,7,10
"85",33,100,100,NA,"old",NA,0.555555555555556,0.909090909090909,9,12
"86",33,100,100,NA,"br",NA,0.611111111111111,0.916666666666667,8,10
"87",33,100,100,NA,"reiter",NA,0.611111111111111,0.916666666666667,8,10
"88",33,1000,100,NA,"old",NA,0.666666666666667,0.923076923076923,7,10
"89",33,1000,100,NA,"br",NA,0.722222222222222,0.928571428571429,6,9
"90",33,1000,100,NA,"reiter",NA,0.666666666666667,0.923076923076923,7,10
"91",33,1,100,NA,NA,NA,0.782608695652174,0.782608695652174,10,15
"92",33,10,100,NA,"old",NA,0.521739130434783,0.923076923076923,12,16
"93",33,10,100,NA,"br",NA,0.739130434782609,0.80952380952381,10,14
"94",33,10,100,NA,"reiter",NA,0.739130434782609,0.80952380952381,10,14
"95",33,100,100,NA,"old",NA,0.695652173913043,0.842105263157895,10,13
"96",33,100,100,NA,"br",NA,0.695652173913043,0.842105263157895,10,13
"97",33,100,100,NA,"reiter",NA,0.695652173913043,0.842105263157895,10,13
"98",33,1000,100,NA,"old",NA,0.739130434782609,0.85,9,12
"99",33,1000,100,NA,"br",NA,0.739130434782609,0.85,9,12
"100",33,1000,100,NA,"reiter",NA,0.739130434782609,0.85,9,12
"101",33,1,100,NA,NA,NA,0.703703703703704,0.703703703703704,16,18
"102",33,10,100,NA,"old",NA,0.555555555555556,0.882352941176471,14,18
"103",33,10,100,NA,"br",NA,0.703703703703704,0.76,14,17
"104",33,10,100,NA,"reiter",NA,0.703703703703704,0.76,14,17
"105",33,100,100,NA,"old",NA,0.703703703703704,0.791666666666667,13,17
"106",33,100,100,NA,"br",NA,0.703703703703704,0.791666666666667,13,17
"107",33,100,100,NA,"reiter",NA,0.703703703703704,0.791666666666667,13,17
"108",33,1000,100,NA,"old",NA,0.703703703703704,0.791666666666667,13,17
"109",33,1000,100,NA,"br",NA,0.62962962962963,0.772727272727273,15,19
"110",33,1000,100,NA,"reiter",NA,0.62962962962963,0.772727272727273,15,19
"111",33,1,100,NA,NA,NA,0.625,0.357142857142857,24,28
"112",33,10,100,NA,"old",NA,0.375,0.6,14,18
"113",33,10,100,NA,"br",NA,0.6875,0.578947368421053,13,16
"114",33,10,100,NA,"reiter",NA,0.6875,0.578947368421053,13,16
"115",33,100,100,NA,"old",NA,0.75,0.6,12,15
"116",33,100,100,NA,"br",NA,0.75,0.6,12,15
"117",33,100,100,NA,"reiter",NA,0.75,0.6,12,15
"118",33,1000,100,NA,"old",NA,0.75,0.6,12,15
"119",33,1000,100,NA,"br",NA,0.75,0.6,12,15
"120",33,1000,100,NA,"reiter",NA,0.75,0.6,12,15
"121",33,1,100,NA,NA,NA,0.695652173913043,0.64,16,20
"122",33,10,100,NA,"old",NA,0.478260869565217,0.846153846153846,14,20
"123",33,10,100,NA,"br",NA,0.608695652173913,0.875,11,18
"124",33,10,100,NA,"reiter",NA,0.608695652173913,0.875,11,18
"125",33,100,100,NA,"old",NA,0.652173913043478,0.882352941176471,10,14
"126",33,100,100,NA,"br",NA,0.652173913043478,0.882352941176471,10,14
"127",33,100,100,NA,"reiter",NA,0.652173913043478,0.882352941176471,10,14
"128",33,1000,100,NA,"old",NA,0.652173913043478,0.882352941176471,10,14
"129",33,1000,100,NA,"br",NA,0.608695652173913,0.875,11,15
"130",33,1000,100,NA,"reiter",NA,0.652173913043478,0.882352941176471,10,14
"131",33,1,100,NA,NA,NA,0.875,0.583333333333333,12,17
"132",33,10,100,NA,"old",NA,0.5625,0.818181818181818,9,14
"133",33,10,100,NA,"br",NA,0.75,0.705882352941177,9,14
