"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","shd"
"906",33,100,100,NA,"br",NA,0.263157894736842,0.714285714285714,16,20
"907",33,100,100,NA,"reiter",NA,0.210526315789474,0.666666666666667,17,20
"908",33,1000,100,NA,"old",NA,0.263157894736842,0.625,17,21
"909",33,1000,100,NA,"br",NA,0.210526315789474,0.666666666666667,17,20
"910",33,1000,100,NA,"reiter",NA,0.210526315789474,0.571428571428571,18,21
"911",33,1,100,NA,NA,NA,0.666666666666667,0.378378378378378,30,36
"912",33,10,100,NA,"old",NA,0.19047619047619,0.666666666666667,19,20
"913",33,10,100,NA,"br",NA,0.285714285714286,0.6,19,22
"914",33,10,100,NA,"reiter",NA,0.285714285714286,0.6,19,22
"915",33,100,100,NA,"old",NA,0.333333333333333,0.5,21,26
"916",33,100,100,NA,"br",NA,0.333333333333333,0.583333333333333,19,23
"917",33,100,100,NA,"reiter",NA,0.333333333333333,0.5,21,26
"918",33,1000,100,NA,"old",NA,0.333333333333333,0.538461538461538,20,25
"919",33,1000,100,NA,"br",NA,0.333333333333333,0.538461538461538,20,25
"920",33,1000,100,NA,"reiter",NA,0.333333333333333,0.538461538461538,20,25
"921",33,1,100,NA,NA,NA,0.62962962962963,0.53125,25,30
"922",33,10,100,NA,"old",NA,0.37037037037037,0.909090909090909,18,26
"923",33,10,100,NA,"br",NA,0.481481481481481,0.8125,17,27
"924",33,10,100,NA,"reiter",NA,0.481481481481481,0.8125,17,27
"925",33,100,100,NA,"old",NA,0.481481481481481,0.866666666666667,16,26
"926",33,100,100,NA,"br",NA,0.481481481481481,0.866666666666667,16,26
"927",33,100,100,NA,"reiter",NA,0.481481481481481,0.866666666666667,16,26
"928",33,1000,100,NA,"old",NA,0.444444444444444,0.923076923076923,16,27
"929",33,1000,100,NA,"br",NA,0.444444444444444,0.923076923076923,16,27
"930",33,1000,100,NA,"reiter",NA,0.444444444444444,0.923076923076923,16,27
"931",33,1,100,NA,NA,NA,0.388888888888889,0.25,32,36
"932",33,10,100,NA,"old",NA,0.277777777777778,0.555555555555556,17,20
"933",33,10,100,NA,"br",NA,0.277777777777778,0.416666666666667,20,23
"934",33,10,100,NA,"reiter",NA,0.277777777777778,0.454545454545455,19,22
"935",33,100,100,NA,"old",NA,0.333333333333333,0.5,18,23
"936",33,100,100,NA,"br",NA,0.333333333333333,0.5,18,23
"937",33,100,100,NA,"reiter",NA,0.333333333333333,0.5,18,23
"938",33,1000,100,NA,"old",NA,0.444444444444444,0.571428571428571,16,21
"939",33,1000,100,NA,"br",NA,0.388888888888889,0.538461538461538,17,23
"940",33,1000,100,NA,"reiter",NA,0.388888888888889,0.538461538461538,17,23
"941",33,1,100,NA,NA,NA,0.454545454545455,0.384615384615385,28,34
"942",33,10,100,NA,"old",NA,0.318181818181818,0.636363636363636,19,26
"943",33,10,100,NA,"br",NA,0.409090909090909,0.692307692307692,17,22
"944",33,10,100,NA,"reiter",NA,0.409090909090909,0.692307692307692,17,22
"945",33,100,100,NA,"old",NA,0.5,0.6875,16,21
"946",33,100,100,NA,"br",NA,0.454545454545455,0.714285714285714,16,21
"947",33,100,100,NA,"reiter",NA,0.5,0.6875,16,21
"948",33,1000,100,NA,"old",NA,0.5,0.6875,16,21
"949",33,1000,100,NA,"br",NA,0.454545454545455,0.769230769230769,15,19
"950",33,1000,100,NA,"reiter",NA,0.454545454545455,0.714285714285714,16,19
"951",33,1,100,NA,NA,NA,0.375,0.3,36,37
"952",33,10,100,NA,"old",NA,0.208333333333333,0.833333333333333,20,24
"953",33,10,100,NA,"br",NA,0.375,0.692307692307692,19,27
"954",33,10,100,NA,"reiter",NA,0.333333333333333,0.727272727272727,19,26
"955",33,100,100,NA,"old",NA,0.375,0.75,18,22
"956",33,100,100,NA,"br",NA,0.375,0.75,18,22
"957",33,100,100,NA,"reiter",NA,0.375,0.75,18,22
"958",33,1000,100,NA,"old",NA,0.416666666666667,0.769230769230769,17,20
"959",33,1000,100,NA,"br",NA,0.375,0.75,18,23
"960",33,1000,100,NA,"reiter",NA,0.458333333333333,0.785714285714286,16,20
"961",33,1,100,NA,NA,NA,0.722222222222222,0.5,18,21
"962",33,10,100,NA,"old",NA,0.444444444444444,0.8,12,16
"963",33,10,100,NA,"br",NA,0.555555555555556,0.769230769230769,11,15
"964",33,10,100,NA,"reiter",NA,0.555555555555556,0.769230769230769,11,15
"965",33,100,100,NA,"old",NA,0.555555555555556,0.769230769230769,11,15
"966",33,100,100,NA,"br",NA,0.555555555555556,0.769230769230769,11,15
"967",33,100,100,NA,"reiter",NA,0.555555555555556,0.769230769230769,11,15
"968",33,1000,100,NA,"old",NA,0.555555555555556,0.769230769230769,11,15
"969",33,1000,100,NA,"br",NA,0.555555555555556,0.769230769230769,11,15
"970",33,1000,100,NA,"reiter",NA,0.555555555555556,0.769230769230769,11,15
"971",33,1,100,NA,NA,NA,0.545454545454545,0.444444444444444,25,28
"972",33,10,100,NA,"old",NA,0.227272727272727,1,17,19
"973",33,10,100,NA,"br",NA,0.272727272727273,0.666666666666667,19,23
"974",33,10,100,NA,"reiter",NA,0.272727272727273,0.75,18,22
"975",33,100,100,NA,"old",NA,0.363636363636364,0.888888888888889,15,19
"976",33,100,100,NA,"br",NA,0.363636363636364,0.888888888888889,15,19
"977",33,100,100,NA,"reiter",NA,0.363636363636364,0.888888888888889,15,19
"978",33,1000,100,NA,"old",NA,0.272727272727273,0.857142857142857,17,21
"979",33,1000,100,NA,"br",NA,0.272727272727273,0.857142857142857,17,21
"980",33,1000,100,NA,"reiter",NA,0.272727272727273,0.857142857142857,17,21
"981",33,1,100,NA,NA,NA,0.55,0.34375,30,34
"982",33,10,100,NA,"old",NA,0.2,0.8,17,20
"983",33,10,100,NA,"br",NA,0.25,0.625,18,21
"984",33,10,100,NA,"reiter",NA,0.25,0.625,18,21
"985",33,100,100,NA,"old",NA,0.4,0.888888888888889,13,16
"986",33,100,100,NA,"br",NA,0.35,0.875,14,16
"987",33,100,100,NA,"reiter",NA,0.4,0.888888888888889,13,16
"988",33,1000,100,NA,"old",NA,0.4,0.888888888888889,13,19
"989",33,1000,100,NA,"br",NA,0.4,0.888888888888889,13,19
"990",33,1000,100,NA,"reiter",NA,0.4,0.888888888888889,13,19
