"","p","m","alpha","run_time"
"892",10,10,0.05,0.00704693794250488
"893",10,10,0.05,0.00723075866699219
"894",10,10,0.05,0.00700950622558594
"895",10,10,0.05,0.00693154335021973
"896",10,10,0.05,0.00707268714904785
"897",10,10,0.05,0.00698351860046387
"898",10,10,0.05,0.00705814361572266
"899",10,10,0.05,0.00698566436767578
"900",10,10,0.05,0.00701069831848145
"901",10,100,0.05,0.0277044773101807
"902",10,100,0.05,0.0278429985046387
"903",10,100,0.05,0.0279617309570312
"904",10,100,0.05,0.0278661251068115
"905",10,100,0.05,0.028256893157959
"906",10,100,0.05,0.0302369594573975
"907",10,100,0.05,0.0291440486907959
"908",10,100,0.05,0.0289342403411865
"909",10,100,0.05,0.0341360569000244
"910",10,100,0.05,0.0276422500610352
"911",10,1000,0.05,0.253952026367188
"912",10,1000,0.05,0.243765830993652
"913",10,1000,0.05,0.244543552398682
"914",10,1000,0.05,0.241578340530396
"915",10,1000,0.05,0.241896867752075
"916",10,1000,0.05,0.245381116867065
"917",10,1000,0.05,0.46284008026123
"918",10,1000,0.05,0.242624044418335
"919",10,1000,0.05,0.240408897399902
"920",10,1000,0.05,0.241547107696533
"921",10,1,0.1,0.00243639945983887
"922",10,1,0.1,0.00219154357910156
"923",10,1,0.1,0.0021977424621582
"924",10,1,0.1,0.00222158432006836
"925",10,1,0.1,0.00224685668945312
"926",10,1,0.1,0.00219559669494629
"927",10,1,0.1,0.00217986106872559
"928",10,1,0.1,0.00224590301513672
"929",10,1,0.1,0.00218057632446289
"930",10,1,0.1,0.00216126441955566
"931",10,10,0.1,0.00777482986450195
"932",10,10,0.1,0.00743293762207031
"933",10,10,0.1,0.00738430023193359
"934",10,10,0.1,0.00742578506469727
"935",10,10,0.1,0.00743317604064941
"936",10,10,0.1,0.00744533538818359
"937",10,10,0.1,0.00739502906799316
"938",10,10,0.1,0.00745224952697754
"939",10,10,0.1,0.00759601593017578
"940",10,10,0.1,0.00755691528320312
"941",10,100,0.1,0.0303463935852051
"942",10,100,0.1,0.0303347110748291
"943",10,100,0.1,0.0304129123687744
"944",10,100,0.1,0.0309178829193115
"945",10,100,0.1,0.0319356918334961
"946",10,100,0.1,0.0330171585083008
"947",10,100,0.1,0.0386338233947754
