"network","p","m","n","epoch","df_correction_method","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,10,25,7,"br",0.9,0.347826086956522,0.533333333333333,24,27
"ecoli",46,10,25,7,"reiter",0.9,0.347826086956522,0.533333333333333,24,27
"ecoli",46,10,25,8,"old",0.9,0.568181818181818,0.833333333333333,14,15
"ecoli",46,10,25,8,"br",0.9,0.5,0.846153846153846,16,19
"ecoli",46,10,25,8,"reiter",0.9,0.5,0.846153846153846,16,19
"ecoli",46,10,25,9,"old",0.9,0.531914893617021,0.657894736842105,19,22
"ecoli",46,10,25,9,"br",0.9,0.531914893617021,0.657894736842105,19,23
"ecoli",46,10,25,9,"reiter",0.9,0.51063829787234,0.666666666666667,20,23
"ecoli",46,10,25,10,"old",0.9,0.418604651162791,0.692307692307692,19,21
"ecoli",46,10,25,10,"br",0.9,0.27906976744186,0.5,24,26
"ecoli",46,10,25,10,"reiter",0.9,0.255813953488372,0.5,25,26
