"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","shd"
"1",33,1,3000,NA,NA,NA,0.963855421686747,0.879120879120879,14,14
"2",33,10,3000,NA,"old",NA,0.939759036144578,0.987341772151899,6,6
"3",33,10,3000,NA,"br",NA,0.939759036144578,0.951219512195122,9,9
"4",33,10,3000,NA,"reiter",NA,0.939759036144578,0.951219512195122,9,9
"5",33,100,3000,NA,"old",NA,0.951807228915663,0.963414634146341,7,7
"6",33,100,3000,NA,"br",NA,0.951807228915663,0.963414634146341,7,7
"7",33,100,3000,NA,"reiter",NA,0.951807228915663,0.963414634146341,7,7
"8",33,1000,3000,NA,"old",NA,0.951807228915663,0.963414634146341,7,7
"9",33,1000,3000,NA,"br",NA,0.951807228915663,0.963414634146341,7,7
"10",33,1000,3000,NA,"reiter",NA,0.951807228915663,0.963414634146341,7,7
"11",33,1,3000,NA,NA,NA,0.954545454545455,0.875,16,16
"12",33,10,3000,NA,"old",NA,0.897727272727273,0.9875,10,10
"13",33,10,3000,NA,"br",NA,0.920454545454545,0.952941176470588,11,12
"14",33,10,3000,NA,"reiter",NA,0.920454545454545,0.952941176470588,11,12
"15",33,100,3000,NA,"old",NA,0.943181818181818,0.954022988505747,9,10
"16",33,100,3000,NA,"br",NA,0.943181818181818,0.954022988505747,9,10
"17",33,100,3000,NA,"reiter",NA,0.943181818181818,0.954022988505747,9,10
"18",33,1000,3000,NA,"old",NA,0.943181818181818,0.954022988505747,9,10
"19",33,1000,3000,NA,"br",NA,0.943181818181818,0.954022988505747,9,10
"20",33,1000,3000,NA,"reiter",NA,0.943181818181818,0.954022988505747,9,10
"21",33,1,3000,NA,NA,NA,0.943181818181818,0.882978723404255,16,16
"22",33,10,3000,NA,"old",NA,0.886363636363636,1,10,10
"23",33,10,3000,NA,"br",NA,0.931818181818182,0.964705882352941,9,9
"24",33,10,3000,NA,"reiter",NA,0.931818181818182,0.976190476190476,8,8
"25",33,100,3000,NA,"old",NA,0.920454545454545,0.98780487804878,8,8
"26",33,100,3000,NA,"br",NA,0.931818181818182,0.976190476190476,8,8
"27",33,100,3000,NA,"reiter",NA,0.931818181818182,0.976190476190476,8,8
"28",33,1000,3000,NA,"old",NA,0.931818181818182,0.964705882352941,9,9
"29",33,1000,3000,NA,"br",NA,0.931818181818182,0.964705882352941,9,9
"30",33,1000,3000,NA,"reiter",NA,0.931818181818182,0.964705882352941,9,9
"31",33,1,3000,NA,NA,NA,0.930232558139535,0.869565217391304,18,22
"32",33,10,3000,NA,"old",NA,0.883720930232558,1,10,13
"33",33,10,3000,NA,"br",NA,0.930232558139535,1,6,9
"34",33,10,3000,NA,"reiter",NA,0.930232558139535,1,6,9
"35",33,100,3000,NA,"old",NA,0.930232558139535,0.987654320987654,7,10
"36",33,100,3000,NA,"br",NA,0.930232558139535,0.987654320987654,7,10
"37",33,100,3000,NA,"reiter",NA,0.930232558139535,0.987654320987654,7,10
"38",33,1000,3000,NA,"old",NA,0.941860465116279,0.975903614457831,7,10
"39",33,1000,3000,NA,"br",NA,0.941860465116279,0.975903614457831,7,10
"40",33,1000,3000,NA,"reiter",NA,0.941860465116279,0.975903614457831,7,10
"41",33,1,3000,NA,NA,NA,0.965116279069767,0.922222222222222,10,11
"42",33,10,3000,NA,"old",NA,0.895348837209302,0.987179487179487,10,12
"43",33,10,3000,NA,"br",NA,0.930232558139535,0.941176470588235,11,13
"44",33,10,3000,NA,"reiter",NA,0.930232558139535,0.952380952380952,10,12
"45",33,100,3000,NA,"old",NA,0.941860465116279,0.952941176470588,9,10
"46",33,100,3000,NA,"br",NA,0.941860465116279,0.952941176470588,9,10
"47",33,100,3000,NA,"reiter",NA,0.941860465116279,0.952941176470588,9,10
"48",33,1000,3000,NA,"old",NA,0.941860465116279,0.952941176470588,9,11
"49",33,1000,3000,NA,"br",NA,0.941860465116279,0.952941176470588,9,11
"50",33,1000,3000,NA,"reiter",NA,0.941860465116279,0.952941176470588,9,11
"51",33,1,3000,NA,NA,NA,0.965909090909091,0.825242718446602,21,21
"52",33,10,3000,NA,"old",NA,0.943181818181818,0.988095238095238,6,6
"53",33,10,3000,NA,"br",NA,0.965909090909091,0.934065934065934,9,9
"54",33,10,3000,NA,"reiter",NA,0.965909090909091,0.934065934065934,9,9
"55",33,100,3000,NA,"old",NA,0.965909090909091,0.955056179775281,7,7
"56",33,100,3000,NA,"br",NA,0.965909090909091,0.955056179775281,7,7
"57",33,100,3000,NA,"reiter",NA,0.965909090909091,0.955056179775281,7,7
"58",33,1000,3000,NA,"old",NA,0.965909090909091,0.965909090909091,6,6
"59",33,1000,3000,NA,"br",NA,0.965909090909091,0.965909090909091,6,6
"60",33,1000,3000,NA,"reiter",NA,0.965909090909091,0.965909090909091,6,6
"61",33,1,3000,NA,NA,NA,0.930232558139535,0.833333333333333,22,22
"62",33,10,3000,NA,"old",NA,0.872093023255814,1,11,11
"63",33,10,3000,NA,"br",NA,0.906976744186046,0.939759036144578,13,13
"64",33,10,3000,NA,"reiter",NA,0.895348837209302,0.950617283950617,13,13
"65",33,100,3000,NA,"old",NA,0.906976744186046,0.951219512195122,12,12
"66",33,100,3000,NA,"br",NA,0.906976744186046,0.939759036144578,13,13
"67",33,100,3000,NA,"reiter",NA,0.906976744186046,0.939759036144578,13,13
"68",33,1000,3000,NA,"old",NA,0.906976744186046,0.928571428571429,14,14
"69",33,1000,3000,NA,"br",NA,0.906976744186046,0.928571428571429,14,14
"70",33,1000,3000,NA,"reiter",NA,0.906976744186046,0.928571428571429,14,14
"71",33,1,3000,NA,NA,NA,0.930232558139535,0.851063829787234,20,20
